Brand,Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R (Up to, in MB/s)","W (Up to, in MB/s)",Categories,Notes (*)
Biostar,M800,x4 PCIe 4.0/NVMe,M.2,2TB,Maxio MAP1602,"R5, x58",,,,,,5000,4450,Mid-Range NVMe,
Biostar,P500,USB 3.2 Gen 2x1,USB-C,512GB,,,,,,,,1000,900,Entry-Level NVMe,Portable
Biostar,P500,USB 3.2 Gen 2x1,USB-C,1TB,,,,,,,,1000,900,Entry-Level NVMe,Portable
Biostar,S160,SATA/AHCI,"2.5""",256GB,,,,,,TLC,,550,510,,
Biostar,S160,SATA/AHCI,"2.5""",512GB,,,,,,TLC,,550,510,,
Biwin,NV7200,x4 PCIe 4.0/NVMe,M.2,500GB,SMI SM2268XT2,,No,Yes,YMTC,QLC,232,7200,6200,,
Biwin,NV7200,x4 PCIe 4.0/NVMe,M.2,1000GB,SMI SM2268XT2,,No,Yes,YMTC,QLC,232,7200,6200,,
Biwin,NV7200,x4 PCIe 4.0/NVMe,M.2,2000GB,SMI SM2268XT2,,No,Yes,YMTC,QLC,232,7200,6200,,
Biwin,NV7200,x4 PCIe 4.0/NVMe,M.2,4000GB,SMI SM2268XT2,,No,Yes,YMTC,QLC,232,7200,6200,,
Biwin,NV7200,x4 PCIe 4.0/NVMe,M.2,4TB,SMI SM2268XT2,,No,Yes,YMTC,QLC,232,7200,6200,,
Biwin,NV7400,x4 PCIe 4.0/NVMe,M.2,512GB,Maxio MAP1602,,No,Yes,YMTC,TLC,232,7400,6500,,
Biwin,NV7400,x4 PCIe 4.0/NVMe,M.2,1TB,Maxio MAP1602,,No,Yes,YMTC,TLC,232,7400,6500,,
Biwin,NV7400,x4 PCIe 4.0/NVMe,M.2,2TB,Maxio MAP1602,,No,Yes,YMTC,TLC,232,7400,6500,,
Biwin,NV7400,x4 PCIe 4.0/NVMe,M.2,4TB,Maxio MAP1602,,No,Yes,YMTC,TLC,232,7400,6500,,
Biwin,X570,x4 PCIe 4.0/NVMe,M.2,1TB,Maxio MAP1806A,,No,Yes,YMTC,TLC,232,,,,
Biwin,X570,x4 PCIe 4.0/NVMe,M.2,2TB,Maxio MAP1806A,,No,Yes,YMTC,TLC,232,,,,
Biwin,X570,x4 PCIe 4.0/NVMe,M.2,4TB,Maxio MAP1806A,,No,Yes,YMTC,TLC,232,,,,
Biwin,X570 PRO,x4 PCIe 5.0/NVMe,M.2,1TB,SMI SM2508,,Yes,N/A,YMTC,TLC,232,14000,13000,High-End NVMe,
