Brand,Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R (Up to, in MB/s)","W (Up to, in MB/s)",Categories,Notes (*)
ADATA,Legend 850 Lite,x4 PCIe 4.0/NVMe,M.2,1000GB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,,TLC,,5000,4200,Mid-Range NVMe,"3-yr, lower TBW; QLC at 2TB?"
ADATA,Legend 850 Lite,x4 PCIe 4.0/NVMe,M.2,2000GB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,,TLC,,5000,4200,Mid-Range NVMe,"3-yr, lower TBW; QLC at 2TB?"
ADATA,Legend 850 Lite,x4 PCIe 4.0/NVMe,M.2,2TB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,,TLC,,5000,4200,Mid-Range NVMe,"3-yr, lower TBW; QLC at 2TB?"
ADATA,Legened 860,x4 PCIe 4.0/NVMe,M.2,500GB,,,,,,,,6000,5000,,
ADATA,Legened 860,x4 PCIe 4.0/NVMe,M.2,1000GB,,,,,,,,6000,5000,,
ADATA,Legened 860,x4 PCIe 4.0/NVMe,M.2,2000GB,,,,,,,,6000,5000,,
ADATA,Legened 860,x4 PCIe 4.0/NVMe,M.2,2TB,,,,,,,,6000,5000,,
ADATA,Legend 900,x4 PCIe 4.0/NVMe,M.2,500GB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,TLC,232,7000,5400,,E27 variant
ADATA,Legend 900,x4 PCIe 4.0/NVMe,M.2,1000GB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,TLC,232,7000,5400,,E27 variant
ADATA,Legend 900,x4 PCIe 4.0/NVMe,M.2,2000GB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,TLC,232,7000,5400,,E27 variant
ADATA,Legend 900,x4 PCIe 4.0/NVMe,M.2,2TB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,TLC,232,7000,5400,,E27 variant
ADATA,Legend 960/Max,x4 PCIe 4.0/NVMe,M.2,1TB,SMI SM2264,"QC (12nm R8), 8-ch, 8-CE/ch",Yes,No,Micron,TLC,176,7400,6800,High-End NVMe,Max: heatsink
ADATA,Legend 960/Max,x4 PCIe 4.0/NVMe,M.2,2TB,SMI SM2264,"QC (12nm R8), 8-ch, 8-CE/ch",Yes,No,Micron,TLC,176,7400,6800,High-End NVMe,Max: heatsink
ADATA,Legend 970,x4 PCIe 5.0/NVMe,M.2,1TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,232,10000,10000,High-End NVMe,
ADATA,Legend 970,x4 PCIe 5.0/NVMe,M.2,2TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,232,10000,10000,High-End NVMe,
ADATA,Legend 970 PRO,x4 PCIe 5.0/NVMe,M.2,1TB,InnoGrit IG5666,,Yes,N/A,Micron,TLC,232,14000,11000,High-End NVMe,
ADATA,Legend 970 PRO,x4 PCIe 5.0/NVMe,M.2,2TB,InnoGrit IG5666,,Yes,N/A,Micron,TLC,232,14000,11000,High-End NVMe,
ADATA,Legend 970 PRO,x4 PCIe 5.0/NVMe,M.2,4TB,InnoGrit IG5666,,Yes,N/A,Micron,TLC,232,14000,11000,High-End NVMe,
ADATA,Mars 970 Blade,x4 PCIe 5.0/NVMe,M.2,4TB,,,,,,,,14000,12000,,SM2508
ADATA,Mars 970 Storm,x4 PCIe 5.0/NVMe,M.2,8TB,,,,,,,,14000,12000,,SM2508 w/HS
