System,Brand,Range,,Type,Mount,Lens,,FL (mm),Max FL (mm),Max. Aper.,Filter (mm),MFD (cm),Diam. (mm),Diam. (in.),Length (mm),Length (in.),Weight (g),Weight (oz),IS,WR,Elements,Blades,Price (new),,Notes
Canon,Tamron,Prime,,AF,EF,35mm F1.8 Di VC USD,,35,,1.8,67,20,80,3.17,81,3.20,479,16.9,YES,YES,,,$600,,Good optics and build. Effective IS. Noticeable CA (more than Canon 35 F2). Weather-sealed.
Canon,Canon,Prime,,AF,EF,35mm F2 IS USM,,35,,2,67,24,78,3.07,63,2.48,335,11.8,YES,,,,$600,,Optically at L level (but with plastic build). Sharp. Vignetting wide open. IS useful for video
Canon,Canon,Prime,,AF,EF,40mm F2.8 STM,,40,,2.8,52,30,68,2.68,22,0.87,130,4.6,,,,,$200,,"Very sharp, fast AF, light and tiny (very discreet). Perfect for street / general / walkaround"
Canon,Tamron,Prime,,AF,EF,45mm F1.8 Di VC USD,,45,,1.8,67,29,80,3.17,91,3.60,544,19.2,YES,YES,,,$600,,Great optics (as sharp as Canon and Sigma 50's). Solid build w/ WR. Sample variation (re: AF)
Canon,Canon,Prime,,TS-E,EF,45mm F2.8 TS-E,,45,,2.8,72,40,90,3.54,81,3.19,645,22.8,,,,,"$1,400",,"Not as sharp as the other TS lenses (and not as much movement), but decent optics & build"
Canon,Canon,Prime,,AF,EF,50mm F1.2L USM,,50,,1.2,72,45,86,3.39,66,2.60,580,20.5,,YES,,,"$1,450",,Great in the right hands (f/1.2 DOF is not easy). Creamy bokeh. Some CA and focus shift
Canon,Canon,Prime,,AF,EF,50mm F1.4 USM,,50,,1.4,58,45,74,2.91,50,1.97,290,10.2,,,,,$400,,"Almost as good as the 1.2 - sharp, great bokeh, much better focus ring than the 1.8 version"
Canon,Zeiss,Prime,,MF,EF,50mm F1.4 ZE Milvus,,50,,1.4,67,45,83,3.27,98,3.86,922,32.5,,YES,,,"$1,200",,"Excellent optics and construction (great haptics). Sharp, clean, beautiful colors, contrast, bokeh. "
Canon,Zeiss,Prime,,MF,EF,50mm F1.4 Planar T* ZE,,50,,1.4,58,45,71,2.80,48,1.89,380,13.4,,,,,$725,,"Very sharp after f/4 (not so good wide open). Excellent colors, contrast, rendition. Built to last."
Canon,Sigma,Prime,,AF,EF,50mm F1.4 DG HSM Art,,50,,1.4,77,40,85,3.36,100,3.93,815,28.7,,,,,$950,,"Superb glass: beautiful colors, rendition, bokeh, no CA. Very sharp once calibrated properly"
Canon,Canon,Prime,,AF,EF,50mm F1.8 STM,,50,,1.8,49,35,69,2.72,39,1.54,159,5.6,,,,,$125,,"The Nifty Fifty (or plastic fantastic). Sharp, light,  fast AF, great bokeh... great value for money"
Canon,Zeiss,Prime,,MF,EF,55mm F1.4 Otus ZE,,55,,1.4,77,50,92,3.64,127,5.01,1030,36.3,,,,,"$4,000",,"The last word in lens engineering. Optical marvel. MF only, heavy and large, but legendary glass"
Canon,Canon,Prime,,MP-E,EF,65mm F2.5 1-5x Macro,,65,,2.5,58,24,81,3.19,98,3.86,710,25.0,,,,,"$1,050",,Specialized macro lens (not for beginners). Excellent optics and build. 1x to 5x magnification range 
Canon,Sigma,Prime,,AF,EF,70mm F2.8 DG Macro Art,,70,,2.8,49,26,71,2.79,106,4.17,515,18.2,,,,,$570,,
Canon,Rokinon,Prime,,MF,EF,85mm F1.2 SP ,,85,,1.2,86,80,93,3.66,98,3.87,1050,37.0,,,,,"$1,000",,"Excellent glass. Very sharp, built to last, great colors/rendition. Optics rival 85L. Great for portraits!"
Canon,Canon,Prime,,AF,EF,85mm F1.2L II USM,,85,,1.2,72,95,91,3.58,84,3.31,1025,36.2,,YES,,,"$2,000",,"A portrait/wedding legend. Sharp, razor thin DOF, beautiful bokeh. Caveats: some CA, slow AF"
Canon,Canon,Prime,,AF,EF,85mm F1.4L IS USM,,85,,1.4,77,85,89,3.50,105,4.13,950,33.5,YES,YES,,,"$1,600",,"More versatile than the 1.2L. Faster AF, just as sharp, great bokeh, better CA control. A winner."
Canon,Zeiss,Prime,,MF,EF,85mm F1.4 Planar T* ZE,,85,,1.4,72,100,78,3.07,65,2.56,670,23.6,,,,,"$1,280",,"If you don't need AF, this lens will impress. Very sharp, great colors, rendering, and bokeh"
Canon,Zeiss,Prime,,MF,EF,85mm F1.4 Otus ZE,,85,,1.4,86,80,101,3.98,124,4.88,1200,42.3,,,,,"$4,500",,"The best 85mm there is. Sharp, beautiful bokeh, legendary Zeiss rendering/contrast. MF only"
Canon,Sigma,Prime,,AF,EF,85mm F1.4 DG HSM Art,,85,,1.4,86,85,95,3.73,126,4.97,1130,39.9,,,,,"$1,200",,"Excellent optics: very sharp, beautiful bokeh, fast AF. Solid build. Produces stunning portraits"
Canon,Rokinon,Prime,,MF,EF,85mm F1.4 AS IF UMC,,85,,1.4,72,100,78,3.07,75,2.94,540,19.0,,,,,$300,,"Soft wide open, sharpens up by f/2. Great bokeh, solid build. Good portrait/video lens on a budget"
Canon,Canon,Prime,,AF,EF,85mm F1.8 USM,,85,,1.8,58,85,75,2.95,71,2.80,425,15.0,,,,,$420,,"Excellent value for money: sharp, lightweight, great bokeh. Some CA/fringing at wide apertures"
Canon,Tamron,Prime,,AF,EF,85mm F1.8 Di VC USD,,85,,1.8,67,80,85,3.34,91,3.59,700,24.7,YES,YES,,,$750,,"Good optics, very sharp by f/4. AF may require calibration. VC noisy but effective. Solid build"
Canon,Tamron,Prime,,AF,EF,90mm F2.8 Di Macro,,90,,2.8,55,29,71,2.80,97,3.80,405,14.3,,,,,$500,,An oldie but a goodie. Great macro lens. AF a bit slower than modern lenses. Great value
Canon,Tamron,Prime,,AF,EF,90mm F2.8 Di Macro 1:1 VC USD,,90,,2.8,62,30,69,2.72,117,4.61,610,21.5,YES,YES,,,$650,,"Sharp, great bokeh. VC very fast (less so in low light). Great for macro and portraits. 1x mag."
Canon,Zeiss,Prime,,MF,EF,100mm F1.4 ZE Otus,,100,,1.4,86,100,101,3.98,129,5.08,1405,49.6,,,,,"$5,000",,"World-class optics, sharp wide open (@1.4). Otus quality and construction. The lens to beat!"
Canon,Zeiss,Prime,,MF,EF,100mm F2M Milvus ZE Macro,,100,,2,67,44,81,3.19,104,4.09,843,29.7,,,,,"$1,840",,"If you have the skills/time to nail focus, this is the one. Superb Zeiss optics. Macro: 0.5x mag."
Canon,Canon,Prime,,AF,EF,100mm F2 USM,,100,,2,58,90,75,2.95,73,2.87,460,16.2,,,,,$500,,"Compared to 85mm 1.8: this has slower AF, but way less CA. Sharp, great bokeh/colors. A+"
Canon,Canon,Prime,,AF,EF,100mm F2.8 Macro USM,,100,,2.8,58,31,79,3.11,119,4.69,600,21.2,,,,,$600,,"Great lens for macro and portraits. Very sharp, fast AF, solid build. Perfect if you don't need IS"
Canon,Canon,Prime,,AF,EF,100mm F2.8L Macro IS USM,,100,,2.8,67,30,78,3.07,123,4.84,625,22.0,YES,YES,,,$900,,"Excellent glass. Advantage over non-L is the IS. Sharp, creamy bokeh. MF better on Zeiss. 1x mag."
Canon,Tokina,Prime,,AF,EF,100mm F2.8 atx-i Macro,,100,,2.8,55,30,73,2.87,95,3.74,490,17.3,,,,,$430,,An excellent performer for macro and portraits. Quality telephoto on a budget! 1:1 max repro. ratio
Canon,Venus Optics,Prime,,MF,EF,100mm F2.8 2X Ultra Macro APO,,100,,2.8,67,25,72,2.83,125,4.92,638,22.5,,,,,$450,,"Excellent macro lens, very sharp with beautiful bokeh. 2:1 max repro. ratio"
Canon,Sigma,Prime,,AF,EF,105mm F1.4 DG HSM Art,,105,,1.4,105,100,116,4.56,132,5.18,1640,57.8,,YES,,,"$1,600",,"Exceptional glass. Sharp edge to edge, no CA. Creamy background blur. great for portraiture"
Canon,Sigma,Prime,,AF,EF,105mm F2.8 EX DG OS HSM Macro,,105,,2.8,62,31,79,3.10,127,5.00,726,25.6,YES,,,,$970,,"Good optics. Fast AF, excellent build quality. Great value when on sale. Macro: 1x mag. "
Canon,Canon,Prime,,AF,EF,135mm F2L USM,,180,,2,72,90,83,3.27,112,4.41,750,26.5,,YES,,,"$1,000",,"Superb glass. very sharp, gorgeous bokeh. World-class for portraits, indoor concerts/sports"
Canon,Sigma,Prime,,AF,EF,150mm F2.8 EX DG OS HSM APO Macro,,150,,2.8,72,38,79,3.10,150,5.90,1180,41.6,YES,,,,"$1,100",,"Great macro, as sharp as 100mm 2.8L. Solid build. Sample variation (AF issues). 1x mag."
Canon,Sigma,Prime,,AF,EF,180mm F2.8 APO Macro EX DG OS HSM,,180,,2.8,86,47,95,3.74,204,8.03,1630,57.5,YES,,,,"$1,700",,"Superb macro / portrait lens. As sharp as L glass, beautiful colors and bokeh. A bit heavy"
Canon,Canon,Prime,,AF,EF,180mm F3.5L Macro USM,,200,,3.5,72,48,82,3.23,187,7.36,1090,38.4,,YES,,,"$1,400",,Excellent. Sharper than the 100mm (but with slower AF). Great for product shots and wildlife macro
Canon,Canon,Prime,,AF,EF,200mm F2L IS USM,,200,,2,drop-in (52),190,128,5.04,208,8.19,2520,88.9,YES,YES,,,"$5,700",,Superb glass. Produces some of the best portrait and indoor sports photos out there. Sublime
Canon,Canon,Prime,,AF,EF,200mm F2.8L II USM,,200,,2.8,72,150,83,3.27,136,5.35,765,27.0,,YES,,,$750,,"Excellent in the right hands (no IS). Very sharp, fast AF. Popular for sports/concerts/astro/portraits"
Canon,Canon,Prime,,AF,EF,300mm F2.8L IS II USM,,300,,2.8,drop-in (52),200,128,5.04,249,9.80,2400,84.7,YES,YES,,,"$6,100",,Optical and build perfection. Very versatile paired with 1.4x / 2x TC. Note: v1 is still a superb lens
Canon,Canon,Prime,,AF,EF,300mm F4L IS USM,,300,,4,77,150,90,3.54,221,8.70,1190,42.0,YES,YES,,,"$1,350",,"Outstanding optics and build quality. Sharp, fast AF. Great for handheld birding / wildlife / sports"
Canon,Canon,Prime,,AF,EF,400mm F2.8L IS II USM,,400,,2.8,drop-in (52),270,163,6.42,343,13.50,3850,135.8,YES,YES,,,"$10,000",,"A Canon supertele legend gets even better. Compared to v1: faster AF, sharper, and much lighter"
Canon,Canon,Prime,,AF,EF,400mm F2.8L IS III USM,,400,,2.8,drop-in (52),250,163,6.42,343,13.50,2840,100.2,YES,YES,,,"$12,000",,"Compared to v2: revised optics (even better image quality), lighter, center of gravity closer to rear"
Canon,Canon,Prime,,AF,EF,400mm F4 DO IS II USM,,400,,4,drop-in (52),330,128,5.04,233,9.17,1200,42.3,YES,YES,,,"$6,900",,"DO allows for portability with almost no downsides. Sharp, fast AF, great contrast. Better than v1"
Canon,Canon,Prime,,AF,EF,400mm F5.6L USM,,400,,5.6,77,350,90,3.54,257,10.12,1250,44.1, ,YES,,,"$1,250",,You won't find better/sharper optics for the $. Solid build. No IS. 11.5' / 3.5 m minimum distance
Canon,Canon,Prime,,AF,EF,500mm F4L IS II USM,,500,,4,drop-in (52),370,146,5.75,383,15.08,3190,112.5,YES,YES,,,"$9,000",,Superb glass for wildlife or sports
Canon,Sigma,Prime,,AF,EF,500mm F4 DG OS HSM Sports,,500,,4,drop-in (46),350,145,5.70,380,14.97,3310,116.8,YES,YES,,,"$6,000",,Takes direct aim at Canon's offering. Superb optics and performance for 50% of the cost.
Canon,Canon,Prime,,AF,EF,600mm F4L IS II USM,,600,,4,drop-in (52),450,168,6.61,449,17.68,3920,138.3,YES,YES,,,"$11,500",,Superb glass for wildlife or sports.
Canon,Canon,Prime,,AF,EF,600mm F4L IS III USM,,600,,4,drop-in (52),420,168,6.61,448,17.64,3050,107.6,YES,YES,,,"$13,000",,Superb glass for wildlife or sports. Considerably lighter than predecessor. 
Canon,Canon,Prime,,AF,EF,800mm F5.6L IS USM,,800,,5.6,drop-in (52),600,163,6.42,461,18.15,4500,158.7,YES,YES,,,"$13,000",,Superb glass for wildlife or sports
Canon,Sigma,Prime,,AF,EF,800mm F5.6 EX DG HSM APO,,800,,5.6,drop-in (46),700,157,6.16,521,20.51,4900,172.8,YES,YES,,,"$6,600",,"Excellent glass. Tradeoffs vs. Canon's 800mm 5.6L: longer, heavier, and doesn't have IS"
Canon,Canon,Zoom,,AF,EF,8-15mm F4L Fisheye USM,,8,15,4,rear,15,79,83,3.11,3.27,540,19.0,,YES,,,"$1,250",,"Good optics (sharp), 180° AOV @ 8mm. Edge CA at wide end. Popular for action sports / scuba "
Canon,Canon,Zoom,,AF,EF,11-24mm F4L USM,,11,24,4,rear,28,108,132,4.25,5.20,1180,41.6,,YES,,,"$3,000",,"Superb. Sharp, minimal distortion or vignetting. Popular with RE / arch. / landscape pros"
Canon,Sigma,Zoom,,AF,EF,12-24mm F4 DG HSM Art,,12,24,4,-,24,102,131.5,4.02,5.18,1150,40.6,,YES,,,"$1,600",,"Excellent optics, much better than older versions. Minimal distortion. Delivers pro results"
Canon,Sigma,Zoom,,AF,EF,14-24mm F2.8 DG HSM Art,,14,24,2.8,-,26,96.4,135.1,3.80,5.32,1150,40.6,,YES,,,"$1,300",,"Excellent optics, center sharp wide open, corners by f/4. Great contrast, solid construction"
Canon,Tamron,Zoom,,AF,EF,15-30mm F2.8 Di VC USD,,15,30,2.8,-,28,98.4,145,3.87,5.71,1100,38.8,YES,,,,"$1,200",,"Good optics (sharp!), performance, and construction. VC (IS) very useful on the go. Some CA"
Canon,Canon,Zoom,,AF,EF,16-35mm F2.8L II USM,,16,35,2.8,82,28,89,112,3.50,4.41,635,22.4,,YES,,,"$1,600",,"A Canon legend. Excellent optics, a reliable workhorse for landscape / general. Very versatile"
Canon,Canon,Zoom,,AF,EF,16-35mm F2.8L III USM,,16,35,2.8,82,28,89,128,3.50,5.04,790,27.9,,YES,,,"$2,200",,"Even better than v2 (corners sharp wide open, less distortion). Great contrast and colors. A+"
Canon,Canon,Zoom,,AF,EF,16-35mm F4L IS USM,,16,35,4,77,28,83,113,3.27,4.45,615,21.7,YES,YES,,,"$1,100",,"If you don't need f/2.8, this is the one. Excellent optics (sharp, great colors/contrast). Good value"
Canon,Tokina,Zoom,,AF,EF,16-28mm F2.8 Pro,,16,28,2.8,-,28,89.9,133.4,3.54,5.25,950,33.5,,,,,$630,,"Good optics, with some caveats: significant flaring, stiff zoom/focus rings, doesn't take filters"
Canon,Tokina,Zoom,,AF,EF,16-28mm F2.8 Opera,,16,28,2.8,-,28,89,136,3.50,5.35,950,33.5,,,,,$700,,"Excellent optics, very sturdy construction. Overall great performer"
Canon,Tamron,Zoom,,AF,EF,17-35mm F2.8-4 DI OSD,,17,35,2.8,77,28,83.6,92.5,3.29,3.64,459,16.2,,YES,,,$600,,"Light and very sharp, with minimal CA/flaring. Some distortion (easily correctable). Perfect for travel!"
Canon,Tokina,Zoom,,AF,EF,17-35mm F4 Pro FX,,17,35,4,82,28,88.9,94,3.50,3.70,600,21.2,,,,,$450,,"Good optics (sharp everywhere by f/5.6, good contrast), lightweight. Great value (esp. used)"
Canon,Canon,Zoom,,AF,EF,17-40mm F4L USM,,17,40,4,77,28,84,97,3.31,3.82,500,17.6,,YES,,,$800,,"Popular for a reason: excellent optics (very sharp by f/5.6) for the $. Light, solid build, compact"
Canon,Sigma,Zoom,,AF,EF,24-35mm F2 DG HSM Art,,24,35,2,82,28,86.4,121.9,3.40,4.80,941,33.2,,,,,"$1,000",,"Sharp, beautiful colors/contrast, essentially ""replaces"" a whole bag of primes (24, 28, 35). Excellent!"
Canon,Canon,Zoom,,AF,EF,24-70mm F2.8L II USM,,24,70,2.8,82,38,89,113,3.50,4.45,805,28.4,,YES,,,"$1,900",,"King of standard zooms: sharp, with great bokeh/contrast. Very solid build. Note: v1 is still great."
Canon,Sigma,Zoom,,AF,EF,24-70mm F2.8 DG OS HSM Art,,24,70,2.8,82,37,88,107.6,3.46,4.24,1020,36.0,YES,,,,"$1,300",,"Good optics, but not on par with other ""Art"" lenses. Corners soft at wide end. May need AF calib."
Canon,Tamron,Zoom,,AF,EF,24-70mm F2.8 Di VC USD G2,,24,70,2.8,82,38.1,88.4,111.8,3.48,4.40,904.3,31.9,YES,YES,,,"$1,200",,"Good optics, but AF a bit slow and tends to hunt. VC (IS) very helpful hand-held and in low light"
Canon,Tokina,Zoom,,AF,EF,24-70mm F2.8 PRO FX,,24,70,2.8,82,38,89.6,107.5,3.53,4.23,1000,35.3,,,,,$950,,"Very sharp, great colors/contrast. AF a bit slow. An excellent standard zoom at a compelling price."
Canon,Canon,Zoom,,AF,EF,24-70mm F4L IS USM,,24,70,4,77,20,83,93,3.27,3.66,600,21.2,YES,YES,,,$900,,"Great all-around: sharp, fast AF, solid build, even has macro mode (0.7x mag). Great value"
Canon,Canon,Zoom,,AF,EF,24-105mm F3.5-5.6 IS STM,,24,105,3.5,77,40,83,104,3.27,4.09,525,18.5,YES,,,,$600,,"Smaller, lighter, quieter than L lenses (but just as sharp!) Excellent walkaround lens; great for video"
Canon,Canon,Zoom,,AF,EF,24-105mm F4L IS USM,,24,105,4,77,45,84,107,3.31,4.21,670,23.6,YES,YES,,,"$1,000",,"There's very little this lens can't do: excellent optics, versatile range. Great ""1 lens"" travel solution"
Canon,Canon,Zoom,,AF,EF,24-105mm F4L IS USM II,,24,105,4,77,45,84,118,3.31,4.65,795,28.0,YES,YES,,,"$1,100",,"Just as versatile as v1 (though not as sharp), but lens creep is fixed. The Canon walkaround king"
Canon,Sigma,Zoom,,AF,EF,24-105mm F4 DG OS HSM Art,,24,105,4,82,45,88.9,109.2,3.50,4.30,885,31.2,YES,,,,$900,,"Sharp, with creamy bokeh and great colors/contrast. On par with 24-105L, just no weather sealing"
Canon,Tamron,Zoom,,AF,EF,28-75mm F2.8 XR Di LD Aspherical (IF) ,,28,75,2.8,67,33,72.9,91.9,2.87,3.62,508,17.9,,,,,$500,,Good optics and performance. Very sharp by f/4. AF slower than Canon's 24-70 2.8. A bargain!
Canon,Tamron,Zoom,,AF,EF,35-150mm F2.8-4 Di VC OSD,,35,150,2.8,77,45,84,126.8,3.31,4.99,796,28.1,YES,,,,$800,,"Great optics, but a bit slow to focus. Good walk-around lens. May require calibration with TAP console"
Canon,Canon,Zoom,,AF,EF,28-300mm F3.5-5.6L IS USM,,28,300,3.5,77,70,92,184,3.62,7.24,1670,58.9,YES,YES,,,"$2,500",,"Big and heavy, but very versatile and does it all (sharp!) Built to last and sealed. Push/pull zoom. "
Canon,Tamron,Zoom,,AF,EF,28-300mm F3.5-6.3 Di VC PZD,,28,300,3.5,67,49,74.4,96,2.93,3.78,540,19.0,YES,,,,$700,,"An all-in-one solution: good optics, solid build, in a lightweight package. Perfect for casual / travel"
Canon,Sigma,Zoom,,AF,EF,60-600mm F4.5-6.3 DG OS HSM Sports ,,60,600,4.5,105,60,120.4,268.9,4.74,10.59,2700,95.2,YES,YES,,,"$2,000",,Early reports indicate superb optics (on par or better than 100-400L). Great for wildlife/sports/etc.
Canon,Canon,Zoom,,AF,EF,70-200mm F2.8L USM,,70,200,2.8,77,150,85,194,3.35,7.64,1310,46.2,,YES,,,"$1,350",,"A Canon legend. No IS, but stellar optics and excellent performance/build. Very useful focal range"
Canon,Canon,Zoom,,AF,EF,70-200mm F2.8L IS II USM,,70,200,2.8,77,120,89,199,3.50,7.83,1490,52.6,YES,YES,,,"$2,100",,"Even better than v1 (faster AF, better contrast, IS). Creamy bokeh. 1000's of pros rely on it daily. "
Canon,Canon,Zoom,,AF,EF,70-200mm F2.8L IS III USM,,70,200,2.8,77,120,89,199,3.50,7.83,1480,52.2,YES,YES,,,"$2,100",,"The new 70-200 king. Updates: improved coating, better back-lit focusing. v2 is almost as good."
Canon,Sigma,Zoom,,AF,EF,70-200mm F2.8 EX DG APO OS HSM,,70,200,2.8,77,140,86.4,198.1,3.40,7.80,1430,50.4,YES,,,,"$1,400",,90% of the optics/performance of the Canons for half the price. Recommendation: try both first 
Canon,Sigma,Zoom,,AF,EF,70-200mm F2.8 DG OS HSM Sports,,70,200,2.8,82,120,94.2,202.9,3.71,7.99,1800,63.5,YES,YES,,,"$1,500",,"Superb optical performance. Fast autofocus, very sharp. Great bokeh. On par with Canon's 70-200"
Canon,Tamron,Zoom,,AF,EF,70-200mm F2.8 Di LD (IF) Macro AF,,70,200,2.8,77,95,88.9,193,3.50,7.60,1150,40.6,,,,,$770,,Good optics (sharp!). Slower AF than Canon L's. Great value! Macro: 0.32x mag. @ 200mm
Canon,Tamron,Zoom,,AF,EF,70-200mm F2.8 Di VC USD G2,,70,200,2.8,77,95,87.9,193,3.46,7.60,1500,52.9,YES,YES,,,"$1,300",,Image quality on par with L's. Even better VC than Canons. Has Arca-Swiss plate on tripod collar
Canon,Canon,Zoom,,AF,EF,70-200mm F4L USM,,70,200,4,67,120,76,172,2.99,6.77,710,25.0,,YES,,,$650,,Older design but still one of the best you can get. Good optics and performance. Great value
Canon,Canon,Zoom,,AF,EF,70-200mm F4L IS USM,,70,200,4,67,120,76,172,2.99,6.77,760,26.8,YES,YES,,,"$1,200",,"Even better than the v1. Sharp, fast AF and IS. Half the weight of the 2.8. Pro-level performance"
Canon,Canon,Zoom,,AF,EF,70-200mm F4L IS II USM,,70,200,4,72,100,80,176,3.15,6.93,780,27.5,YES,YES,,,"$1,300",,"The newest version - and the best. Tack sharp, great colors/contrast, fast AF, beautiful bokeh. A+"
Canon,Tamron,Zoom,,AF,EF,70-210mm F4 Di VC USD,,70,210,4,67,95,76,175.3,2.99,6.90,859,30.3,YES,YES,,,$800,,Great optics at an acceptable price point. Solid all-around zoom. Upgrade firmware for best results
Canon,Canon,Zoom,,AF,EF,70-300mm F4-5.6 IS USM,,70,300,4,58,150,77,143,3.03,5.63,630,22.2,YES,,,,$380,,"Decent in mid ranges, softer at long end. Fast/accurate AF. Great value for money."
Canon,Canon,Zoom,,AF,EF,70-300mm F4-5.6 IS II USM,,70,300,4,67,120,79,145,3.11,5.71,708,25.0,YES,,,,$550,,"Good optics (sharp), with fast and accurate AF. Noticeable vignetting wide open. Great value!"
Canon,Canon,Zoom,,AF,EF,70-300mm F4-5.6L IS USM,,70,300,4,67,120,89,143,3.50,5.63,1050,37.0,YES,YES,,,"$1,350",,"Excellent optics, new design, just as good (if not better) than 70-200L's. One of the best Canon zooms"
