System,Brand,Range,,Type,Mount,Lens,,FL (mm),Max FL (mm),Max. Aper.,Filter (mm),MFD (cm),Diam. (mm),Diam. (in.),Length (mm),Length (in.),Weight (g),Weight (oz),IS,WR,Elements,Blades,Price (new),,Notes
Canon,Sigma,Zoom,,AF,EF,70-300mm F4-5.6 DG Macro,,70,300,4,58,150,76.2,119.5,3.00,4.70,530,18.7,,,,,$170,,"Decent optics (soft at longer end, must be stopped down), but a true bargain! Macro: 1 to 2x mag."
Canon,Tamron,Zoom,,AF,EF,70-300mm F4-5.6 Di VC USD ,,70,300,4,62,95,81.5,149.9,3.21,5.90,765,27.0,YES,,,,$450,,"Sharp from 70-200, softens after that (sharp after f/8). Average AF. Subpar VC. Decent value"
Canon,Canon,Zoom,,AF,EF,75-300mm F4-5.6 III,,75,300,4,58,150,71,122,2.80,4.80,1480,52.2,,,,,$200,,"OK optics, soft at long end. Average AF performance. No IS. USM version performs similarly."
Canon,Canon,Zoom,,AF,EF,100-400mm F4.5-5.6L IS USM,,100,400,4.5,77,98,92,189,3.62,7.44,1380,48.7,YES,,,,"$1,691",,"Excellent optics. Caveats: older IS (~1-2 stops), not weather sealed. Available used for $700-1000"
Canon,Canon,Zoom,,AF,EF,100-400mm F4.5-5.6L IS II USM,,100,400,4.5,77,98,94,193,3.70,7.60,1570,55.4,YES,YES,,,"$2,200",,"Much sharper than v1, beautiful bokeh and fast/accurate AF, 4 stop IS, Superb wildlife lens. A+"
Canon,Tamron,Zoom,,AF,EF,100-400mm F4.5-6.3 Di VC USD,,100,400,4.5,67,150,86.2,199,3.39,7.83,1135,40.0,YES,YES,,,$800,,"Good optics, sharp with fast AF and great VC. Great value for money. Birding on a budget"
Canon,Sigma,Zoom,,AF,EF,100-400mm F5-6.3 DG OS HSM ,,100,400,5,67,160,86.4,182.3,3.40,7.18,1160,40.9,YES,,,,$800,,"Good optics, sharp. Great value for $. Like Tamron, no tripod collar. AF may require calibration"
Canon,Sigma,Zoom,,AF,EF,120-300mm F2.8 DG OS HSM,,120,300,2.8,105,150,121.4,291,4.78,11.46,3390,119.6,YES,YES,,,"$3,600",,Excellent optics. AF may require fine-tuning with USB dock. Great for sports. Actual range: 120-280mm
Canon,Sigma,Zoom,,AF,EF,150-600mm F5-6.3 DG OS HSM Contemporary,,150,600,5,95,280,104.1,259.1,4.10,10.20,1950,68.8,YES,YES,,,"$1,100",,"Excellent optics - sharp, great colors and contrast. May require AF calibration with dock (sold sep.)"
Canon,Sigma,Zoom,,AF,EF,150-600mm F5-6.3 DG OS HSM Sports,,150,600,5,105,260,121.9,289.6,4.80,11.40,2860,100.9,YES,YES,,,"$2,000",,Optically identical to 'Contemporary' but with improved weather sealing and construction. Heavier!
Canon,Tamron,Zoom,,AF,EF,150-600mm F5-6.3 Di VC USD ,,150,600,5,95,270,105.6,257.8,4.16,10.15,1950,68.8,YES,,,,"$1,070",,Excellent optics for the price. Softens up after 500mm. Performs best at f/8. Best for still subjects
Canon,Tamron,Zoom,,AF,EF,150-600mm F5-6.3 Di VC USD G2 ,,150,600,5,95,220,108.4,260.2,4.27,10.24,2010,70.9,YES,YES,,,"$1,400",,"Massive improvement over v1: sharper, better VR and tracking. Excellent optics, and great value!"
Canon,Canon,Zoom,,AF,EF,200-400mm F4L IS USM Extender 1.4x,,200,400,4,drop-in (52),200,128,366,5.04,14.41,3620,127.7,YES,YES,,,"$11,000",,"Superb glass. Sharp throughout, very fast AF. Effectively 200-560mm. Nature/wildlife/sports king"
Canon,Sigma,Zoom,,AF,EF,300-800mm F5.6 APO EX DG HSM,,300,800,5.6,drop-in (46),600,156.5,544,6.16,21.42,5880,207.4,,,,,"$8,000",,"Excellent optics, very sharp. Heavy, no IS - a demanding lens, not for beginners. Bring a tripod! "
Canon,Sigma,Prime,APS-C,AF,EF-S,4.5mm F2.8 EX DC HSM Circular Fisheye,,4.5,,2.8,rear,13.5,76.2,3.00,77.8,3.06,470,16.6,,,,,$950.00,,"Good optics, unique/creative results (180° angle of view, circular fisheye)"
Canon,Lensbaby,Prime,APS-C,MF,EF-S,5.8mm F3.5 Circular Fisheye,,5.8,,3.5,-,0.64,70,2.76,76,2.99,298,10.5,,,,,$300.00,,"Not very sharp, lots of flare, but it's a 185° circular fisheye for not that much $"
Canon,Opteka,Prime,APS-C,MF,EF-S,6.5mm F3.5 Circular Fisheye,,6.5,,3.5,-,30,,0.00,100,3.94,414,14.6,,,,,$220.00,,"Decent optics, a cheap way to experiment with the fisheye perspective"
Canon,Bower,Prime,APS-C,MF,EF-S,8mm F3.5 Fisheye,,8,,3.5,-,30.5,74.7,2.94,74.9,2.95,220,7.8,,,,,$220.00,,"Decent optics, a bit soft wide open, lots of sample variation, very light"
Canon,Rokinon,Prime,APS-C,MF,EF-S,8mm F3.5 HD Fisheye,,8,,3.5,-,30.5,75,2.95,77.3,3.04,428,15.1,,,,,$200.00,,"Good optics, average build, it's probably the fisheye to get if starting out"
Canon,Rokinon,Prime,APS-C,MF,EF-S,10mm F2.8 ED AS NCS CS,,10,,2.8,-,24,87,3.43,106.1,4.18,590,20.8,,,,,$350.00,,"Good optics (sharp!), very popular for nightscapes / astrophotography"
Canon,Rokinon,Prime,APS-C,MF,EF-S,16mm F2 ED AS UMC CS,,16,,2,77,20,83,3.27,89.4,3.52,583,20.6,,,,,$350.00,,"Good optics (very sharp from f/4), popular for landscapes / astro"
Canon,Canon,Prime,APS-C,AF,EF-S,24mm F2.8 STM,,24,,2.8,52,16,68,2.68,23,0.91,125,4.4,,,,,$150.00,,"Sharp, snappy AF, good build, versatile FL, tiny. A winner and a bargain!"
Canon,Sigma,Prime,APS-C,AF,EF-S,30mm F1.4 DC HSM Art,,30,,1.4,62,30,74,2.91,63,2.48,435,15.3,,,,,$500.00,,"Sharp, great bokeh, solid build, wonderful if you get a copy with no AF issues"
Canon,Canon,Prime,APS-C,AF,EF-S,35mm F2.8 Macro IS STM,,35,,2.8,49,13,69,2.72,56,2.20,190,6.7,YES,,,,$350.00,,"Exceptional value. Good optics, versatile, front LED fill light. 1x magnific."
Canon,Tamron,Prime,APS-C,AF,EF-S,60mm F2 Di II 1:1 Macro,,60,,2,55,23,73,2.87,80,3.15,390,13.8,,,,,$524.00,,AF slow and tends to hunt (esp. in low light). Good optics. 1x magnific.
Canon,Canon,Prime,APS-C,AF,EF-S,60mm F2.8 Macro USM,,60,,2.8,52,20,73,2.87,70,2.76,335,11.8,,,,,$470.00,,"Great value. Good optics, beautiful bokeh, AF a tad slow. 1x magnific."
Canon,Venus Optics,Prime,APS-C,MF,EF-S,60mm F2.8 2X Ultra-Macro,,60,,2.8,62,6,95,3.74,77,3.03,800,28.2,,,,,$400.00,,"Heavy, MF only, but an excellent macro performer with 2x magnification"
Canon,Sigma,Zoom,APS-C,AF,EF-S,8-16mm F4.5-5.6 DC HSM,,8,16,4.5,-,24,105.7,4.16,75,2.95,555,19.6,,,,,$570.00,,"The ultimate APS-C ultrawide: excellent optics (as good as Canon 10-22), fast and accurate AF"
Canon,Tokina,Zoom,APS-C,AF,EF-S,10-17mm F3.5-4.5 AT-X AF DX Fisheye,,10,17,3.5,-,14,69.9,2.75,70.9,2.79,350,12.3,,,,,$470.00,,"Good optics, sharp, popular for underwater / surfing / BMX / skate / unique landscape shots"
Canon,Tokina,Zoom,APS-C,AF,EF-S,10-17mm F3.5-4.5 AT-X AF DX Fisheye NH,,10,17,3.5,-,14,69.9,2.75,70.9,2.79,350,12.3,,,,,$460.00,,"Same as above, but this one doesn't have a built-in lens hood (""NH"")"
Canon,Canon,Zoom,APS-C,AF,EF-S,10-18mm F4.5-5.6 IS STM,,10,18,4.5,67,22,74.6,2.94,72,2.83,240,8.5,YES,,,,$300.00,,"Great lens for real estate / landscapes. Sharp, fast AF. Some barrel distortion / flaring"
Canon,Sigma,Zoom,APS-C,AF,EF-S,10-20mm F3.5 EX DC HSM,,10,20,3.5,82,24,86.4,3.40,88.9,3.50,520,18.3,,,,,$330.00,,"Good optics, popular for landscapes / real estate. Good value when on sale. Noticeable CA."
Canon,Canon,Zoom,APS-C,AF,EF-S,10-22mm F3.5-4.5 USM,,10,22,3.5,77,24,83.5,3.29,89.8,3.54,385,13.6,,,,,$650.00,,"Plastic build, but lighter and sharper than third party options, better flare control. Fast, quiet AF. "
Canon,Tamron,Zoom,APS-C,AF,EF-S,10-24mm F3.5-4.5 Di II VC HLD,,10,24,3.5,77,24,83.6,3.29,83.8,3.30,439,15.5,YES,YES,,,$500.00,,"Good optics and performance. Sharp, fast AF. VC useful for handheld landscapes / real estate"
Canon,Tokina,Zoom,APS-C,AF,EF-S,11-16mm F2.8 AT-X 116 PRO DX-II ,,11,16,2.8,77,30,84,3.31,89.2,3.51,550,19.4,,,,,$380.00,,"Very sharp, solid build, great for astro / low light. Noticeable CA. Some sample variation with AF"
Canon,Tokina,Zoom,APS-C,AF,EF-S,11-16mm F2.8 CF atx-i,,11,16,2.8,77,30,84,3.31,91.7,3.61,555,19.6,,,,,$450.00,,New release
Canon,Tokina,Zoom,APS-C,AF,EF-S,11-20mm F2.8 AT-X PRO DX,,11,20,2.8,82,28,89,3.50,92,3.62,560,19.8,,,,,$470.00,,"Good optics, solid build, AF sometimes hunts in low light. Some edge CA. Popular for astro"
Canon,Tokina,Zoom,APS-C,AF,EF-S,12-28mm F4 AT-X Pro,,12,28,4,77,25,84,3.31,90.2,3.55,530,18.7,,,,,$450.00,,"Good optics, sharp wide open (at f/4), versatile range, solid construction. Great value."
Canon,Canon,Zoom,APS-C,AF,EF-S,15-85mm F3.5-5.6 IS USM,,15,85,3.5,72,35,82,3.23,88,3.46,575,20.3,YES,,,,$800.00,,"Sharp, good AF, excellent walkaround lens. Some CA (correctable in post). Good value"
Canon,Tamron,Zoom,APS-C,AF,EF-S,16-300mm F3.5-6.3 Di II VC PZD MACRO,,16,300,3.5,67,39,75,2.95,99.5,3.92,539,19.0,YES,,,,$630.00,,"Not the sharpest, but fast AF, solid build, and VERY versatile range. 1:2.9 max reproduction ratio"
Canon,Sigma,Zoom,APS-C,AF,EF-S,17-50mm F2.8 EX DC OS HSM,,17,50,2.8,77,28,83.8,3.30,91.4,3.60,565,19.9,,,,,$340.00,,"Good optics (good contrast, very sharp by f/4). Many reports of AF issues (sample variation)"
Canon,Tamron,Zoom,APS-C,AF,EF-S,17-50mm F2.8 SP AF XR Di II LD Aspherical,,17,50,2.8,67,27,73.7,2.90,81.3,3.20,430,15.2,,,,,$300.00,,"Good optics (sharp) at a fair price. Caveats: Noisy/slow AF, sample variation (lots of AF issues)"
Canon,Tamron,Zoom,APS-C,AF,EF-S,17-50mm F2.8 SP AF XR Di-II VC LD,,17,50,2.8,72,29,79.5,3.13,94,3.70,570,20.1,YES,,,,$650.00,,"Acceptable optics, subpar VC (IS) mechanism, slow AF. Worth it on deep sale / good copy used"
Canon,Canon,Zoom,APS-C,AF,EF-S,17-55mm F2.8 IS USM,,17,55,2.8,77,35,84,3.31,111,4.37,645,22.8,YES,,,,$880.00,,"Good optics (sharp, good contrast), fast AF and IS, versatile. One of the best for APS-C."
Canon,Sigma,Zoom,APS-C,AF,EF-S,17-70mm F2.8-4 DC Macro OS HSM ,,17,70,2.8,72,22,79,3.11,82,3.23,465,16.4,YES,,,,$500.00,,"Good optics, very sharp f/8. Rreports of sample variation (focusing issues). 1:3 max repro ratio"
Canon,Canon,Zoom,APS-C,AF,EF-S,17-85mm F4-5.6 IS USM,,17,85,4,67,35,79,3.11,92,3.62,475,16.8,YES,,,,$300.00,,"Acceptable optics, decent walkaround lens. Durability issues. Worth it at used prices (good copy)"
Canon,Sigma,Zoom,APS-C,AF,EF-S,18-35mm F1.8 DC HSM Art,,18,35,1.8,72,28,78,3.07,121,4.76,811,28.6,,,,,$800.00,,"Excellent optics (very sharp). Popular for video, esp. in low light. May require AF calibration"
Canon,Canon,Zoom,APS-C,AF,EF-S,18-55mm F3.5-5.6 IS II,,18,55,3.5,58,25,69,2.72,70,2.76,200,7.1,YES,,,,$200.00,,An average lens at a fair price. Decently sharp by f/8. Does the job - get it used for < $100!
Canon,Canon,Zoom,APS-C,AF,EF-S,18-55mm F3.5-5.6 IS STM,,18,55,3.5,58,25,69,2.72,75,2.95,205,7.2,YES,,,,$250.00,,"Good optics, a definite upgrade over non-IS kit lenses. Some corner softness. Good value used"
Canon,Canon,Zoom,APS-C,AF,EF-S,18-55mm F4-5.6 IS STM,,18,55,4,58,25,67,2.64,62,2.44,215,7.6,YES,,,,$250.00,,"Good optics, a definite upgrade over non-IS kit lenses. Good value used"
Canon,Canon,Zoom,APS-C,AF,EF-S,18-135mm F3.5-5.6 IS,,18,135,3.5,67,45,75,2.95,101,3.98,455,16.0,YES,,,,$500.00,,Decent optics. AF is loud but fast. Softness/vignetting in corners. Good for general / walkaround
Canon,Canon,Zoom,APS-C,AF,EF-S,18-135mm F3.5-5.6 IS USM,,18,135,3.5,67,39,77,3.03,96,3.78,515,18.2,YES,,,,$600.00,,"Good optics and performance. Sharp, focuses fast. Great value and versatility for APS-C"
Canon,Canon,Zoom,APS-C,AF,EF-S,18-135mm F3.5-5.6 IS STM,,18,135,3.5,67,39,77,3.03,96,3.78,480,16.9,YES,,,,$275.00,,"Good optics, very versatile (great for travel). A very capable kit lens. Noticeable corner CA. "
Canon,Canon,Zoom,APS-C,AF,EF-S,18-200mm F3.5-5.6 IS,,18,200,3.5,72,45,79,3.11,102,4.02,595,21.0,YES,,,,$700.00,,"Good optics, with fast/reliable AF. Decently sharp by f/8. Great if you don't want to switch lenses"
Canon,Sigma,Zoom,APS-C,AF,EF-S,18-200mm F3.5-6.3 DC Macro OS HSM ,,18,200,3.5,62,39,71.1,2.80,86.4,3.40,431,15.2,YES,,,,$400.00,,"Good optics, fast AF, minimal CA. One of the better ""do it all"" lenses out there. Excellent value."
Canon,Tamron,Zoom,APS-C,AF,EF-S,18-200mm F3.5-6.3 Di II VC ,,18,200,3.5,62,49,75,2.95,96.6,3.80,400,14.1,YES,YES,,,$200.00,,Good optics (noticeable vignetting). Average build. A versatile do-it-all lens for a bargain price
Canon,Sigma,Zoom,APS-C,AF,EF-S,18-250mm F3.5-6.3 DC Macro OS HSM ,,18,250,3.5,62,35,73.7,2.90,88.9,3.50,470,16.6,YES, ,,,$550.00,,"Decent optics, sharp and good contrast. In reality closer to 24-165mm equiv. 1:3 max repro ratio"
Canon,Tamron,Zoom,APS-C,AF,EF-S,18-270mm F3.5-6.3 Di II VC PZD,,18,270,3.5,62,49,74.4,2.93,90.5,3.56,450,15.9,YES,,,,$350.00,,"Average optics, average build quality, slow/noisy autofocus"
Canon,Sigma,Zoom,APS-C,AF,EF-S,18-300mm F3.5-6.3 DC MACRO OS HSM,,18,300,3.5,72,39,79,3.11,101.5,4.00,584,20.6,YES,,,,$400.00,,Decent optics (though not as sharp as Canon 18-200). AF may require calibration. 1:3 max repro
Canon,Tamron,Zoom,APS-C,AF,EF-S,18-400mm F3.5-6.3 Di II VC HLD,,18,400,3.5,72,45,79,3.11,123.9,4.88,710,25.0,YES,YES,,,$650.00,,"Great (when considering the range). Caveats: soft at wide end, slow AF. Walkaround king?"
Canon,Sigma,Zoom,APS-C,AF,EF-S,50-100mm F1.8 DC HSM Art,,50,100,1.8,82,95,93.5,3.68,170.7,6.72,1490,52.6,,,,,"$1,100.00",,"Excellent optics, delivers stunning portraits. Great for video. Caveat: many reports of AF issues"
Canon,Canon,Zoom,APS-C,AF,EF-S,55-250mm F4-5.6 IS II,,55,250,4,58,110,70,2.76,108,4.25,390,13.8,YES,,,,$250.00,,"Good optics, sharp and with fast AF. Pairs very well with 18-55mm kit zooms. Great value."
Canon,Canon,Zoom,APS-C,AF,EF-S,55-250mm F4-5.6 IS STM,,55,250,4,58,85,70,2.76,111,4.37,375,13.2,YES,,,,$300.00,,"Even faster and quieter AF than non-STM version. Very versatile, a ""must own"" lens for APS-C"
Canon,Canon,Prime,APS-C,AF,RF-S,3.9mm f/3.5 STM Dual Fisheye,144°,3.9,,3.5,,20.7,112,4.4,53,2.1,289,10.194186,No,,11 Elements in 8 Groups,7,"$1,099.00",06/10/2024,
Canon,Canon,Prime,APS-C,AF,RF-S,7.8mm f/4 STM Dual Lens,60°,7.8,,4,58,15,69.2,2.7,41.5,1.6,131,4.620894,No,,9 Elements in 7 Groups,7,$449.99,10/30/2024,
Canon,Canon,Prime,Full-Frame,AF,RF,5.2mm f/2.8 L Dual Fisheye 3D VR,190°,5.2,,2.8,,20.7,122,4.8,53,2.1,352,12.416448,No,,12 Elements in 10 Groups,7,"$1,999.00",10/06/2021,
Canon,Canon,Zoom,APS-C,AF,RF-S,10-18mm f/4.5-6.3 IS STM,107° 30' to 74° 20',10,18,4.5,49,14,69,2.7,44.9,1.8,150,5.2911,Yes,,12 Elements in 10 Groups,7,$329.99,11/02/2023,
Canon,Canon,Zoom,Full-Frame,AF,RF,10-20mm f/4 L IS STM,130° 25' to 94°,10,20,4,,25,83.7,3.3,112,4.4,570,20.10618,Yes,,16 Elements in 12 Groups,9,"$2,299.00",10/11/2023,
Canon,Canon,Zoom,Full-Frame,AF,RF,14-35mm f/4 L IS USM,114° to 63°,14,35,4,77,20.1,64,3.3,99,3.9,544,19.189056,Yes,,16 Elements in 12 Groups,9,"$1,699.00",06/29/2021,
Canon,Canon,Zoom,Full-Frame,AF,RF,15-30mm f/4.5-6.3 IS STM,110° 30' to 71° 35',15,30,4.5,67,13,76.6,3,88.4,3.5,390,13.75686,Yes,,13 Elements in 11 Groups,7,$549.99,07/12/2022,
Canon,Canon,Zoom,Full-Frame,AF,RF,15-35mm f/2.8 L IS USM,110° 30' to 63°,15,35,2.8,82,28,88.5,3.48,126.8,4.99,840,29.63016,Yes,,16 Elements in 12 Groups,9,"$2,299.00",08/28/2019,
Canon,Canon,Zoom,Full-Frame,AF,RF,16-28mm f/2.8 IS STM,108°,16,28,2.8,67,24.99,76,3,91,3.6,454,16.014396,Yes,,16 Elements in 13 Groups,9,"$1,149.00",01/22/2025,
Canon,Canon,Prime,Full-Frame,AF,RF,16mm f/2.8 STM,108° 10',16,,2.8,43,13,40.1,1.6,69.2,12.7,165,5.82021,No,,9 Elements in 7 Groups,7,$299.00,09/14/2021,
Canon,Canon,Zoom,APS-C,AF,RF-S,18-45mm f/4.5-6.3 IS STM,74° 20' to 33° 40',18,45,4.5,49,20,68.9,2.7,44.3,1.7,130,4.58562,No,,7 Elements in 7 Groups,7,$299.99,05/24/2022,
Canon,Canon,Zoom,APS-C,AF,RF-S,18-150mm f/3.5-6.3 IS STM,74° 20' to 10° 25'17',18,150,4.5,55,17,69,2.7,126.7,5,310,10.93494,No,,17 Elements in 13 Groups,7,$499.99,05/24/2022,
Canon,Canon,Prime,Full-Frame,AF,RF,24mm f/1.8 Macro IS STM,84°,24,,1.8,52,14,74.4,2.9,63.1,2.5,270,9.52398,Yes,,11 Elements in 9 Groups,9,$599.99,07/12/2022,
Canon,Canon,Prime,Full-Frame,AF,RF,24mm f/1.4 L VCM,84°,24,,1.4,67,23.9,76.2,3,99.1,3.9,515,18.16611,No,,15 Elements in 11 Groups,11,"$1,499.00",10/30/2024,
Canon,Canon,Zoom,Full-Frame,AF,RF,24-70mm f/2.8 L IS USM,84° to 34°,24,70,2.8,82,21,88.5,3.48,125.7,4.95,900,31.7466,Yes,,21 Elements in 15 Groups,9,"$2,299.00",08/28/2019,
Canon,Canon,Zoom,Full-Frame,AF,RF,24-105mm f/2.8 L IS USM Z,84° to 23° 20',24,105,2.8,82,45,88.5,3.5,199,7.8,1300,45.8562,Yes,,23 Elements in 18 Groups,11,"$2,999.00",11/02/2023,
Canon,Canon,Zoom,Full-Frame,AF,RF,24-105mm f/4 L IS USM,84° to 23° 20',24,105,4,77,45,83.5,3.29,07.3,4.22,700,24.6918,Yes,,18 Elements in 14 Groups,9,"$1,099.00",09/05/2018,
Canon,Canon,Zoom,Full-Frame,AF,RF,24-105mm f/4-7.1 IS STM,84° to 23° 20',24,105,4,67,13.1,76.6,3.02,88.8,3.5,395,13.93323,No,,13 Elements in 11 Groups,7,$399.99,02/12/2020,
Canon,Canon,Zoom,Full-Frame,AF,RF,24-240mm f/4-6.3 IS USM,84° to 10.3°,24,240,(4,72,50,81.28,3.2,121.92,4.8,751.26,26.49994524,Yes,,21 Elements in 15 Groups,7,$899.99,08/28/2019,
Canon,Canon,Zoom,Full-Frame,AF,RF,24-50mm f/4.5-6.3 IS STM,84°,24,50,4.5,58,30,68.6,2.7,94,3.7,210,7.40754,Yes,,8 Elements in 8 Groups,7,$299.99,02/08/2023,
Canon,Canon,Prime,Full-Frame,AF,RF,28mm f/2.8 STM,75°,28,,2.8,55,23,69.2,2.7,24.7,1,120,4.23288,No,,8 Elements in 6 Groups,7,$299.99,05/24/2023,
Canon,Canon,Zoom,Full-Frame,AF,RF,28-70mm f/2 L USM,75° to 34°,28,70,2,95,39,103.8,4.09,139.8,5.5,1430,50.44182,No,,19 Elements in 13 Groups,9,"$2,849.99",09/05/2018,
Canon,Canon,Prime,Full-Frame,AF,RF,35mm f/1.8 IS Macro STM,63°,35,,1.8,52,17,74.4,2.93,62.8,2.47,305,10.75857,Yes,,11 Elements in 9 Groups,9,$499.00,09/05/2018,
Canon,Canon,Prime,Full-Frame,AF,RF,35mm f/1.4 L VCM,63°,35,,1.4,67,28,76.5,3,99.3,3.9,555,19.57707,No,,14 Elements in 11 Groups,11,"$1,499.00",06/06/2024,
Canon,Canon,Prime,Full-Frame,AF,RF,50mm f/1.8 STM,46°,50,,1.8,43,30,69,2.7,40,1.6,160,5.64384,No,,6 Elements in 5 Groups,7,$129.99,04/10/2020,
Canon,Canon,Prime,Full-Frame,AF,RF,50mm f/1.4 L VCM,46°,50,,1.4,67,39.9,76.2,3,99.1,3.9,580,20.45892,No,,14 Elements in 11 Groups,11,"$1,399.00",10/30/2024,
Canon,Canon,Prime,Full-Frame,AF,RF,50mm f/1.2 L USM,46°,50,,1.2,77,40,89.8,3.54,108,4.25,950,33.5103,No,,15 Elements in 9 Groups,8,"$2,299.00",09/05/2018,
Canon,Canon,Zoom,APS-C,AF,RF,55-210mm F5-7.1 IS STM,27° 50' to 7° 25',55,210,5,55,70,69,2.7,94,3.7,270,9.52398,Yes,,11 Elements in 8 Groups,7,$349.00,02/08/2023,
Canon,Canon,Zoom,Full-Frame,AF,RF,70-200mm f/4 L IS USM,34° to 12°,70,200,4,77,60,83,3.3,120,4.7,695,24.51543,Yes,,16 Elements in 11 Groups,9,"$1,599.00",04/10/2020,
Canon,Canon,Zoom,Full-Frame,AF,RF,70-200mm f/2.8 L IS USM Z,34° to 12°,70,200,2.8,82,49,88.5,3.5,199,7.8,1115,39.33051,Yes,,18 Elements in 15 Groups,11,"$1,499.00",10/30/2024,
Canon,Canon,Zoom,Full-Frame,AF,RF,70-200mm f/2.8 L IS USM,34° to 12°,70,200,2.8,77,70,89.9,3.54,146,5.75,1070,37.74318,Yes,,17 Elements in 13 Groups,9,"$2,700.00",10/24/2019,
Canon,Canon,Prime,Full-Frame,AF,RF,85mm f/1.2 L USM,28° 30',85,,1.2,82,85,103.2,4.06,117.3,4.62,1195,42.15243,No,,13 Elements in 9 Groups,9,"$2,700.00",05/08/2019,
Canon,Canon,Prime,Full-Frame,AF,RF,85mm f/1.2 L USM DS,28° 30',85,,1.2,82,85,103.2,4.06,117.3,4.62,1195,42.15243,No,,13 Elements in 9 Groups,9,"$2,999.00",10/24/2019,
Canon,Canon,Prime,Full-Frame,AF,RF,85mm f/2 Macro IS STM,28° 30',85,,2,67,35.05,78,3.07,90.5,3.56,500,17.637,Yes,,12 Elements in 11 Groups,9,$599.99,07/09/2020,
Canon,Canon,Prime,Full-Frame,AF,RF,100mm f/2.8 L IS Macro USM,24°,100,,2.8,67,26,81.5,3.2,148,5.8,730,25.75002,Yes,,17 Elements in 13 Groups,9,"$1,399.00",04/14/2021,
Canon,Canon,Zoom,Full-Frame,AF,RF,100-400mm f/5.6-8 IS USM,24° to 6° 10',100,400,(5.6,67,88,79.5,3.1,164.7,6.5,635,22.39899,Yes,,12 Elements in 9 Groups,8,$649.00,09/14/2021,
Canon,Canon,Zoom,Full-Frame,AF,RF,100-500mm f/4.5-7.1 L IS USM,24° to 5°,100,500,4.5,77,90,93.8,3.69,207.6,8.17,1365,48.14901,Yes,,20 Elements in 14 Groups,9,"$2,699.00",07/09/2020,
Canon,Canon,Zoom,Full-Frame,AF,RF,100-300mm f/2.8 L IS USM,24° to 8° 15',100,300,2.8,112,180,128,5,323.4,12.7,2590,91.35966,Yes,,23 Elements in 18 Groups,9,"$9,499.00",04/20/2023,
Canon,Canon,Prime,Full-Frame,AF,RF,135mm f/1.8 L IS USM,18°,135,,1.8,82,70,89.2,3.5,130.3,5.1,935,32.98119,Yes,,17 Elements in 12 Groups,9,"$2,099.00",11/02/2022,
Canon,Canon,Zoom,Full-Frame,AF,RF,200-800mm F6.3-9 IS USM,12° to 3° 5',200,800,6.3,96,80,102.3,4,314.1,12.4,2000,70.548,Yes,,17 Elements in 11 Groups,9,"$1,900.00",11/02/2023,
Canon,Canon,Prime,Full-Frame,AF,RF,400mm f/2.8 L IS USM,6°,400,,2.8,Drop-In 52,250,163,6.4,367,14.4,2900,102.2946,Yes,,17 Elements in 13 Groups,9,"$12,000.00",04/14/2021,
Canon,Canon,Prime,Full-Frame,AF,RF,600mm f/11 IS STM,4° 10',600,,11,82,450,93,3.66,269.5,10.61,930,32.80482,Yes,,10 Elements in 7 Groups,unknown,$600.00,07/09/2020,
Canon,Canon,Prime,Full-Frame,AF,RF,600mm f/4 L IS USM,4° 10',600,,4,Drop-In 52,420,168,6.6,472,18.6,3100,109.3494,Yes,,17 Elements in 13 Groups,9,"$12,999.00",04/14/2021,
Canon,Canon,Prime,Full-Frame,AF,RF,800mm f/11 IS STM,3° 5',800,,11,95,600,101.6,4,351.8,13.85,1260,44.44524,Yes,,11 Elements in 8 Groups,unknown,$599.00,07/09/2020,
Canon,Canon,Prime,Full-Frame,AF,RF,800mm f/5.6 L IS USM Lens,3° 5',800,,5.6,Drop-In 52,260,163,6.4,432,17,3140,110.76036,Yes,,26 Elements in 18 Groups,9,"$16,999.00",02/24/2022,
Canon,Canon,Prime,Full-Frame,AF,RF,1200mm f/8 L IS USM Lens,2° 5',1200,,8,Drop-In 52,430,168,6.6,537,21.1,3340,117.81516,Yes,,26 Elements in 18 Groups,9,"$19,999.00",02/24/2022,
Canon,Canon,Prime,Full-Frame,AF,RF,1.4x Extender,N/A,0,,,N/A,,71.12,2.8,20.32,0.8,224,7.901376,No,,7 elements in 4 groups,N/A,$499.99,07/09/2020,
Canon,Canon,Prime,Full-Frame,AF,RF,2.0x Extender,N/A,0,,,N/A,,71.12,2.8,38.1,1.5,340,11.99316,No,,9 elements in 5 groups,N/A,$599.00,07/09/2020,
Sony,Sony,APS-C,Zoom,,E,Sony E 10-18mm F4 OSS,,10,18,4,62,25,70,2.76,63.5,2.5,225,7.94,Yes,,,,698,2012,
Sony,Sony,APS-C,Zoom,,E,Sony E PZ 10-20mm F4 G,,10,20,4,62,13,69.8,2.75,55,2.17,178,6.28,No,,,,898,2022,
Sony,Sony,APS-C,Zoom,,E,Sony E PZ 16-50mm F3.5-5.6 OSS,,16,50,3.5,40.5,25,64.7,2.55,29.9,1.18,116,4.09,Yes,,,,349,2023,
Sony,Sony,APS-C,Zoom,,E,Sony E PZ 16-50mm F3.5-5.6 OSS II,,16,50,3.5,40.5,25,66,2.6,31.3,1.23,107,3.77,Yes,,,,399,2024,
Sony,Sony,APS-C,Zoom,,E,Sony E 16-55mm F2.8 G,,16,55,2.8,67,33,73,2.87,100,3.94,494,17.43,No,,,,1398,2019,
