Producer,CPU Name,Processor Number,Brand Modifier,"Intel® Core™ 
Gen",# of Cores,# of P-cores,# of E-cores,# of Threads,Max Turbo Frequency (GHz),Performance-core Base Frequency (GHz),Efficient-core Base Frequency (GHz),Processor Base Frequency (GHz),Cache (MB),"Processor Base Power (previously Thermal Design Power (TDP)) 
(W)",Max Memory Size (dependent on memory type) GB,Memory Types (MT/s),Max # of PCI Express Lanes,Supported Socket,Processor Graphics,Graphics Max Dynamic Frequency (GHz),Intel® Optane™ Memory Supported,Intel® Turbo Boost Technology 2.0,Intel® Turbo Boost Max Technology 3.0,Intel® vPro™ Platform Eligibility,"Max Resolution for HDMI,
 Max Resolution for DP, 
Max Resolution for (eDP - Integrated Flat Panel)",Price
Intel,Intel Core i3-14100,i3-14100,i3,14th,4,4,0,8,4.70,3.50,N/A,N/A,12,60,192,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,20,LGA1700,UHD 730,1.50,No,Yes,No,No,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",204.99
Intel,Intel Core i9-14900K,i9-14900K,i9,14th,24,8,16,32,6.00,3.20,2.40,N/A,36,125,192,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,UHD 770,1.65,No,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",468.99
Intel,Intel Core i9-14900KF,i9-14900KF,i9,14th,24,8,16,32,6.00,3.20,2.40,N/A,36,125,192,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,No,N/A,No,Yes,Yes,No,N/A,439.79
Intel,Intel Core i7-14700K,i7-14700K,i7,14th,20,8,12,28,5.60,3.40,2.50,N/A,33,125,192,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,UHD 770,1.60,No,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",339.79
Intel,Intel Core i7-14700KF ,i7-14700KF ,i7,14th,20,8,12,28,5.60,3.40,2.50,N/A,33,125,192,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,No,N/A,No,Yes,Yes,No,N/A,
Intel,Intel Core i5-14600K ,i5-14600K ,i5,14th,14,6,8,20,5.30,3.50,2.60,N/A,24,125,192,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,UHD 770,1.55,No,Yes,No,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core  i5-14600KF , i5-14600KF ,i5,14th,14,6,8,20,5.30,3.50,2.60,N/A,24,125,192,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,No,N/A,No,Yes,No,No,N/A,
Intel,Intel Core i9-13900KS,i9-13900KS,i9,13th,24,8,16,32,6.00,3.20,2.40,N/A,36,150,128,"Up to DDR5 5600
Up to DDR4 3200",20,LGA1700,UHD 770,1.65,No,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",707
Intel,Intel Core i9-13900F,i9-13900F,i9,13th,24,8,16,32,5.60,2.00,1.50,N/A,36,65,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,No,N/A,No,Yes,Yes,No,N/A,0
Intel,Intel Core i9-13900,i9-13900,i9,13th,24,8,16,32,5.60,2.00,1.50,N/A,36,65,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,UHD 770,1.65,No,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i9-13900T,i9-13900T,i9,13th,24,8,16,32,5.30,1.10,0.80,N/A,36,35,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,UHD 770,1.65,No,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",0
Intel,Intel Core i7-13700F,i7-13700F,i7,13th,16,8,8,24,5.20,2.10,1.50,N/A,30,65,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,No,N/A,No,Yes,Yes,No,N/A,0
Intel,Intel Core i7-13700,i7-13700,i7,13th,16,8,8,24,5.20,2.10,1.50,N/A,30,65,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,UHD 770,1.60,No,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i7-13700T,i7-13700T,i7,13th,16,8,8,24,4.90,1.40,1.00,N/A,30,35,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,UHD 770,1.60,No,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",0
Intel,Intel Core i5-13600,i5-13600,i5,13th,14,6,8,20,5.00,2.70,2.00,N/A,24,65,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,UHD 770,1.55,No,Yes,No,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",0
Intel,Intel Core i5-13600T,i5-13600T,i5,13th,14,6,8,20,4.80,1.80,1.30,N/A,24,35,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,UHD 770,1.55,No,Yes,No,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i5-13500,i5-13500,i5,13th,14,6,8,20,4.80,2.50,1.80,N/A,24,65,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,UHD 770,1.55,No,Yes,No,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",0
Intel,Intel Core i5-13500T,i5-13500T,i5,13th,14,6,8,20,4.60,1.60,1.20,N/A,24,35,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,UHD 770,1.55,No,Yes,No,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i5-13400F,i5-13400F,i5,13th,10,6,4,16,4.60,2.50,1.80,N/A,20,65,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,No,N/A,No,Yes,No,No,N/A,234.29
Intel,Intel Core i5-13400,i5-13400,i5,13th,10,6,4,16,4.60,2.50,1.80,N/A,20,65,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,UHD 730,1.55,No,Yes,No,No,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",370.57
Intel,Intel Core i5-13400T ,i5-13400T ,i5,13th,10,6,4,16,4.40,1.30,1.00,N/A,20,35,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,UHD 730,1.55,No,Yes,No,No,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i9-13900K,i9-13900K,i9,13th,24,8,16,32,5.80,3.00,2.20,N/A,36,125,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,UHD 770,1.65,No,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",599.95
Intel,Intel Core i9-13900KF,i9-13900KF,i9,13th,24,8,16,32,5.80,3.00,2.20,N/A,36,125,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,No,N/A,No,Yes,Yes,No,N/A,606.78
Intel,Intel Core i7-13700K,i7-13700K,i7,13th,16,8,8,24,5.40,3.40,2.50,N/A,30,125,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,UHD 770,1.60,No,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",457.29
Intel,Intel Core i7-13700KF ,i7-13700KF ,i7,13th,16,8,8,24,5.40,3.40,2.50,N/A,30,125,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,No,N/A,No,Yes,Yes,No,N/A,
Intel,Intel Core i5-13600K ,i5-13600K ,i5,13th,14,6,8,20,5.10,3.50,2.60,N/A,24,125,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,UHD 770,1.50,No,Yes,No,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core  i5-13600KF , i5-13600KF ,i5,13th,14,6,8,20,5.10,3.50,2.60,N/A,24,125,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,No,N/A,No,Yes,No,No,N/A,
Intel,Intel Core i3-13100,i3-13100,i3,13th,4,4,0,8,4.50,3.40,N/A,N/A,12,60,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,UHD 730,1.50,No,Yes,No,No,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i3-13100F,i3-13100F,i3,13th,4,4,0,8,4.50,3.40,N/A,N/A,12,58,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,No,N/A,No,Yes,No,No,N/A,141.87
Intel,Intel Core i3-13100T,i3-13100T,i3,13th,4,4,0,8,4.20,2.50,N/A,N/A,12,35,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,UHD 730,1.50,No,Yes,No,No,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",0
Intel,Intel Core i9-12900KS,i9-12900KS,i9,12th,16,8,8,24,5.50,3.40,2.50,N/A,30,150,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.55,Yes,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",479.99
Intel,Intel Core i9-12900K,i9-12900K,i9,12th,16,8,8,24,5.20,3.20,2.40,N/A,30,125,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.55,Yes,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",329.99
Intel,Intel Core i9-12900KF,i9-12900KF,i9,12th,16,8,8,24,5.20,3.20,2.40,N/A,30,125,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,N/A,Yes,Yes,Yes,No,N/A,309.99
Intel,Intel Core i9-12900F,i9-12900F,i9,12th,16,8,8,24,5.10,2.40,1.80,N/A,30,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,N/A,Yes,Yes,Yes,No,N/A,
Intel,Intel Core i9-12900,i9-12900,i9,12th,16,8,8,24,5.10,2.40,1.80,N/A,30,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.55,Yes,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i7-12700,i7-12700,i7,12th,12,8,4,20,4.90,2.10,1.60,N/A,25,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.50,Yes,Yes,yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",449.99
Intel,Intel Core i7-12700F,i7-12700F,i7,12th,12,8,4,20,4.90,2.10,1.60,N/A,25,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,N/A,Yes,Yes,Yes,No,N/A,284.99
Intel,Intel Core i9-12900T,i9-12900T,i9,12th,16,8,8,24,4.90,1.40,1.00,N/A,30,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.55,Yes,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i7-12700K,i7-12700K,i7,12th,12,8,4,20,5.00,3.60,2.70,N/A,25,125,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.50,Yes,Yes,yes,yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz
",284.58
Intel,Intel Core i7-12700KF,i7-12700KF,i7,12th,12,8,4,20,5.00,3.60,2.70,N/A,25,125,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,N/A,Yes,Yes,Yes,No,N/A,268.95
Intel,Intel Core i5-12600,i5-12600,i5,12th,6,6,0,12,4.80,3.30,N/A,N/A,18,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.45,Yes,Yes,No,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i5-12400,i5-12400,i5,12th,6,6,0,12,4.40,2.50,N/A,N/A,18,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 730,1.45,Yes,Yes,No,No,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",215.99
Intel,Intel Core i5-12400F,i5-12400F,i5,12th,6,6,0,12,4.40,2.50,N/A,N/A,18,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,N/A,Yes,Yes,No,No,N/A,148.86
Intel,Intel Core i7-12700T,i7-12700T,i7,12th,12,8,4,20,4.70,1.40,1.00,N/A,25,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.50,Yes,Yes,yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i5-12400T,i5-12400T,i5,12th,6,6,0,12,4.20,1.80,N/A,N/A,18,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 730,1.45,Yes,Yes,No,No,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i5-12500,i5-12500,i5,12th,6,6,0,12,4.60,3.00,N/A,N/A,18,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.45,Yes,Yes,No,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",219.99
Intel,Intel Core i5-12500T,i5-12500T,i5,12th,6,6,0,12,4.40,2.00,N/A,N/A,18,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.45,Yes,Yes,No,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
