listing_id,title,description,price_eur,seller_location,date_posted,first_seen_at,last_seen_at
boonbc,Ryzen 3600 procesors. Labā stāvoklī.,"Ryzen 3600 procesors. Labā stāvoklī.
Cena:45 €",45.00,Rīga,2026-04-17 15:26:00,2026-04-18 22:34:52.340874,2026-04-18 22:39:11.273813
gfxje,Прелагается куллер,"Прелагается куллер
Информация об процессоре от intel:
Total Cores 6
Total Threads 6
Max Turbo Frequency 4.10 GHz
Processor Base Frequency 2.90 GHz
Cache 9 MB
Bus Speed 8 GT/s
TDP 65 W
Max of PCI Express Lanes 16
Информация об пользовании:
Служил 6 лет без проблем, снят с компьютера ввиду обновления системы.
Cena:50 €",50.00,Rīga,2026-03-22 19:21:00,2026-04-18 22:38:54.010685,2026-04-18 22:38:54.010685
ddodf,Новый процессор,"Новый процессор
4-ядерный процессор для сокета Am3+,
Работающий на базовой частоте 4 Ггц (с разгоном до 4.1-4.2 ГГц,
Поддержка памяти: DDR3.,
Техпроцесс: 32 нм.
Ядра/Потоки: 4 ядра / 4 потока
Cena:15 €",15.00,Rīga,2026-04-06 23:24:00,2026-04-18 22:37:08.964406,2026-04-18 22:37:08.964406
logcg,Thermalright Assassin King 120 SE Argb Cpu Cooler,"Thermalright Assassin King 120 SE Argb Cpu Cooler
Model: Ak120 SE Arb
Jauns iepakojumā - новый в упаковке
Veikalos no 34.00e / в магазинах от 34.00е
Purvciems
Pieejami 3 gab. /в наличие 3 шт.
5 Heatpipes, TL-C12C-S PWM Quiet Fan CPU Cooler with S-FDB Bearing,
for AMD AM4/AM5
for Intel LGA1700/1150/1151/120 0
Cena:25 €",25.00,Rīga,2026-04-12 08:21:00,2026-04-18 22:36:36.280689,2026-04-18 22:36:36.280689
