Name,Type,Color,Power Supply,Side Panel,External volume,"Internal 3.5"" bays",Rating,Price
SHARKOON TG5,ATX Mid Tower,Black / Red,None,Acrylic,,3,2,
Rosewill SPECTRA D100,ATX Mid Tower,Black,None,Tempered Glass,,2,5,
NZXT H710,ATX Mid Tower,Black,None,Tempered Glass,58.6,4,14,
Corsair Carbide Series 110R,ATX Mid Tower,Black,None,Tempered Glass,42.1,2,9,
BitFenix Nova Mesh M ARGB,MicroATX Mini Tower,White,None,Tempered Glass,31.6,2,11,
Okinos Cypress 5 Air,ATX Mid Tower,Black / Brown,None,Tempered Glass,,2,0,
Streacom DA6,Mini ITX Test Bench,Silver,None,None,19.9,4,0,199.99
Thermaltake CTE C700 TG ARGB,ATX Mid Tower,Black,None,Tempered Glass,93.8,7,0,151.99
MSI MAG VAMPIRIC 300R,ATX Mid Tower,Black,None,Tempered Glass,54.1,2,2,
Thermaltake View 380 XL WS ARGB,ATX Mid Tower,Black / Brown,None,Tempered Glass,64.2,1,1,152.54
Enermax MarbleShell MS31 RGB,ATX Mid Tower,White,None,Tempered Glass,41,2,0,
Azza Aero,ATX Mid Tower,Black,None,Mesh,47.3,2,0,109.99
Cougar Uniface RGB,ATX Mid Tower,Black,None,Tempered Glass,53.9,2,0,
SSUPD Meshlicious ,Mini ITX Tower,White,None,Mesh,14.7,0,7,
Cooler Master CMP 510,ATX Mid Tower,Black,None,Tempered Glass,42,2,0,
GAMDIAS NESO P1 PRO,ATX Full Tower,White,None,Tempered Glass,75.2,2,0,219.99
darkFlash LEO,ATX Mid Tower,Black,None,Tempered Glass,30.9,2,0,
Thermaltake Core P6,ATX Mid Tower,Green / Black,None,Tempered Glass,76.4,4,4,
Deepcool MATREXX 55,ATX Mid Tower,Black,None,Tempered Glass,,2,15,
Antec AX90,ATX Mid Tower,Black,None,Tempered Glass,48.3,2,1,
ENDORFY Regnum 400 ARGB,ATX Mid Tower,Black,None,Tempered Glass,45.9,2,1,
Corsair Carbide Series 100R,ATX Mid Tower,Black,None,None,,4,7,
HP Omen X,MicroATX Desktop,Black / Red,None,None,,0,1,
MUSETEX Phantom,ATX Mid Tower,Black,None,Tempered Glass,,3,11,
Lian Li LANCOOL 205,ATX Mid Tower,Black,None,Tempered Glass,,2,15,
Antec NX410,ATX Mid Tower,White,None,Tempered Glass,39.7,2,8,
DAN Cases C4-SFXv1,Mini ITX Desktop,Silver,None,Mesh,15.9,0,3,
Phanteks NV5,ATX Mid Tower,White,None,Tempered Glass,60.2,3,6,
Antec CX800 RGB ELITE,ATX Mid Tower,Black,None,Tempered Glass,51.2,2,0,
PC Cooler C3 T500 ARGB,ATX Mid Tower,White,None,Tempered Glass,45.1,2,0,
Cooler Master Elite 301,MicroATX Mid Tower,White,None,Tempered Glass,34.1,1,0,
Silverstone PS15,MicroATX Mid Tower,Black,None,Tempered Glass,25.7,1,4,69.29
Montech KING 45,ATX Mid Tower,White,None,Tempered Glass,50.9,2,0,97.8
ARCTIC Xtender VG,ATX Mid Tower,White,None,Tempered Glass,64.6,1,1,247.99
Thermaltake The Tower 100 Snow,Mini ITX Tower,White,None,Tempered Glass,32.7,2,4,
Silverstone FTZ01,Mini ITX Desktop,Black,None,None,,1,5,188.79
Cougar OmnyX,ATX Mid Tower,Black,None,Tempered Glass,73.3,2,0,
MSI MAG FORGE 110R,ATX Mid Tower,Black,None,Tempered Glass,42.5,2,0,
Thermaltake Versa H25,ATX Mid Tower,Black,None,None,42.6,3,3,
Antec P101 Silent,ATX Mid Tower,Black,None,None,,8,6,
iBuypower Element 9,ATX Mid Tower,White,None,Tempered Glass,49.2,2,0,94.99
Silverstone Lucid 05,ATX Mid Tower,Black,None,Tempered Glass,46.2,2,0,
Cougar Airface Pure RGB,ATX Mid Tower,Black,None,Tempered Glass,38,2,0,
Chieftec Hunter 3,ATX Mid Tower,Black,None,Tempered Glass,47.1,2,0,
In Win BL631.300TBL,MicroATX Slim,Black,300 W,None,11.6,2,1,
Thermaltake Core P1,Mini ITX Tower,Black,None,Tempered Glass,53.2,1,4,
Fractal Design Define R6,ATX Mid Tower,Black / White,None,Tempered Glass,56.7,6,11,
Cooler Master MasterCase H500P Mesh ARGB,ATX Mid Tower,White,None,Tempered Glass,71.4,2,2,
NZXT H210,Mini ITX Tower,White,None,Tempered Glass,27.3,1,22,
Lian Li LANCOOL 205,ATX Mid Tower,White,None,Tempered Glass,,2,6,
Corsair 480T,ATX Mid Tower,Black,None,Tempered Glass,45.4,0,0,
Ocypus Gamma C70 ARGB,ATX Mid Tower,Black,None,Tempered Glass,40.3,2,0,
Vetroo M06,MicroATX Mini Tower,Pink,None,Acrylic,25.8,1,0,
Aerocool Cipher,ATX Mid Tower,Black,None,None,48.2,12,0,
Silverstone FARA 513 Type-C,ATX Mid Tower,Black,None,None,44.6,2,0,93
SHARKOON MK6 RGB,MicroATX Mid Tower,White,None,Tempered Glass,43.6,2,0,
Streacom DA2 V2,Mini ITX Desktop,Silver,None,None,17.5,0,1,259.99
APNX Creator C1 ChromaFlair,ATX Mid Tower,Purple / Blue,None,Tempered Glass,53.6,3,0,
Aerocool Shard,ATX Mid Tower,Black,None,Acrylic,36.5,2,1,
Fractal Design Focus G,ATX Mid Tower,Black / Blue,None,Acrylic,42.2,2,16,
NZXT H7,ATX Mid Tower,White,None,Tempered Glass,55.8,2,1,
Deepcool CG560,ATX Mid Tower,Black,None,Tempered Glass,48.9,2,5,
Fractal Design Define R4,ATX Mid Tower,Black,None,None,56,8,112,
Lazer3D LZ7-v1,Mini ITX Desktop,Black,None,None,7.1,0,2,
NZXT H700i,ATX Mid Tower,Black / White,None,Tempered Glass,58.6,2,12,
NZXT H210i,Mini ITX Tower,Black / Red,None,Tempered Glass,27.3,1,4,
Montech X1,ATX Mid Tower,White,None,Tempered Glass,32.3,1,4,
Thermaltake Core P3 TG Pro Snow,ATX Mid Tower,,None,Tempered Glass,71.7,4,4,
Zalman P10 NAMU,MicroATX Mini Tower,White,None,Tempered Glass,38.6,2,0,79.98
Cooler Master MasterBox MB400L with ODD,MicroATX Mini Tower,Black,None,None,35.4,2,0,76.23
iBuypower Snowblind S,ATX Mid Tower,White,None,Tempered Glass,43,2,0,149.99
Thermaltake View 51 ARGB Edition,ATX Full Tower,Black,None,Tempered Glass,91,2,2,
MSI MPG Sekira 500G,ATX Mid Tower,Black,None,Tempered Glass,67.1,6,0,
Thermaltake AH T600 Snow,ATX Full Tower,White / Black,None,Tempered Glass,161.6,2,0,
KOLINK Horizon,ATX Mid Tower,Black,None,Tempered Glass,42.9,2,0,
ALPHAGEAR Adept,ATX Mid Tower,Black,None,Tempered Glass,34.7,2,0,
Cooler Master Cosmos C700P,ATX Full Tower,Black / Silver,None,Tempered Glass,127.3,2,2,
GAMDIAS APOLLO E2 ELITE,ATX Mid Tower,Black,None,Tempered Glass,,2,3,74.98
Corsair Obsidian Series 800D,ATX Full Tower,Black,None,Acrylic,84.6,2,14,
NZXT Phantom 530,ATX Full Tower,White,None,Acrylic,72.7,6,29,
Corsair Obsidian Series 500D Premium,ATX Mid Tower,Black,None,Tinted Tempered Glass,59.4,2,3,
Thermaltake Level 20 VT,MicroATX Desktop,Black / Silver,None,Tempered Glass,49.4,3,3,
Tecware Nexus M,MicroATX Mid Tower,Black,None,Tempered Glass,,2,3,
Phanteks Eclipse P400S,ATX Mid Tower,White,None,Tinted Tempered Glass,45.9,2,38,
Cooler Master MasterBox NR200P,Mini ITX Desktop,Orange,None,Tempered Glass,20.3,2,1,
GALAX REV-05,ATX Full Tower,White,None,Tempered Glass,39.5,2,0,
Armoury C802,ATX Mid Tower,Black,None,Tempered Glass,51.4,2,1,
Chieftec Visio AIR,ATX Mid Tower,Black,None,Tempered Glass,50.7,2,1,135.19
Sliger CX4200i,Rackmount 4U,Black,None,None,38.9,3,0,299
GameMax Silent Hill,MicroATX Mini Tower,Black,None,None,25,2,0,
PC Cooler CPS C3D310 ARGB,MicroATX Mid Tower,Black,None,Tempered Glass,36.6,2,0,
Antec Performance 1 FT,ATX Full Tower,White,None,Tempered Glass,62.7,2,1,
Phanteks Eclipse P200A Performance,Mini ITX Tower,Black,None,None,29.9,0,0,
Antec CX500M ARGB,MicroATX Mini Tower,White,None,Tempered Glass,40.8,2,0,
Cougar MX330-X,ATX Mid Tower,Black,None,None,39.4,2,11,
Antec NX260,ATX Mid Tower,Black,None,Tempered Glass,,2,2,
Jonsbo D41 MESH SCREEN,ATX Mid Tower,White,None,Tempered Glass,35.4,2,1,
Jonsbo MOD5,ATX Mid Tower,White / Black,None,Tempered Glass,97.2,1,0,
Thermaltake Core W100,ATX Full Tower,Black,None,Acrylic,,10,2,
Zalman i4,ATX Mid Tower,Black,None,Mesh,43.1,2,0,
Corsair iCUE 465X RGB,ATX Mid Tower,White / Black,None,Tempered Glass,,2,35,
MSI MPG Sekira 100R,ATX Mid Tower,Black,None,Tinted Tempered Glass,42.9,2,6,
SHARKOON S1000,MicroATX Mini Tower,Black,None,None,35.5,2,1,
Jonsbo D300,MicroATX Mid Tower,White,None,Tempered Glass,45.8,2,3,
Thermaltake H200 TG RGB,ATX Mid Tower,Black,None,Tempered Glass,39.7,2,4,
Corsair 5000D,ATX Mid Tower,Black,None,Tempered Glass,66.2,2,5,
Xigmatek Aquarius Plus Arctic,ATX Mid Tower,White,None,Tempered Glass,49.6,2,0,
DIYPC DIY-S08,ATX Mid Tower,Green / Black,None,Tempered Glass,33.2,2,0,
BitFenix CETO300,ATX Mid Tower,Black,None,Tempered Glass,47.9,1,0,
RAIJINTEK Ponos Ultra MS4,ATX Mid Tower,Black,None,Tempered Glass,46.3,2,0,79.98
Cooler Master MasterFrame 500 Mesh,ATX Mid Tower,Silver,None,Tempered Glass,66.9,1,0,203.99
Geometric Future Model 5 Vent,ATX Mid Tower,Black,None,Tempered Glass,53.8,2,0,129.9
Thermaltake Versa J25 RGB,ATX Mid Tower,Black,None,Tempered Glass,,3,1,
Cougar Archon 2 RGB,ATX Mid Tower,Black,None,Tempered Glass,37.5,2,0,
Silverstone ML09,HTPC,Black,None,None,,0,4,100.15
Mars Gaming MCV4,ATX Mid Tower,White,None,Tempered Glass,50.9,2,1,
Chieftec The Cube,MicroATX Desktop,Black,None,None,36.2,2,0,
Montech Fighter 500,ATX Mid Tower,Black,None,Tempered Glass,38.6,2,0,
DIYPC ARGB Q10,ATX Mid Tower,Black,None,Tempered Glass,50.4,1,0,
KOLINK Unity Arena ARGB,ATX Mid Tower,Black,None,Tempered Glass,51.2,2,0,
Phanteks Eclipse P200A DRGB,Mini ITX Tower,Black,None,Tempered Glass,29.9,0,9,
Genesis Diaxid 605F,ATX Mid Tower,Black,None,Tempered Glass,42.5,2,0,
Corsair Graphite Series 760T,ATX Full Tower,Black / Red,None,Acrylic,78.8,6,10,
ENDORFY ARX 500 Air,ATX Mid Tower,Black,None,Tempered Glass,47.5,1,0,
Fractal Design Node 605,HTPC,Black,None,None,25.5,4,4,
NZXT H440,ATX Mid Tower,Black / Green,None,Acrylic,53.3,8,16,
Phanteks Enthoo Pro,ATX Full Tower,White,None,Acrylic,68.6,6,11,
NZXT H500i,ATX Mid Tower,Black,None,Tempered Glass,41.3,3,28,
NZXT H710,ATX Mid Tower,Black / Red,None,Tempered Glass,58.6,4,7,
Montech X2 Mesh,ATX Mid Tower,Black,None,Tempered Glass,32.3,2,2,
Fractal Design Torrent Nano,Mini ITX Tower,White / Black,None,Tempered Glass,34.6,1,7,
Zalman Z10 DUO,ATX Mid Tower,Black,None,Tempered Glass,51.6,2,0,99.99
SSUPD Meshroom S,ATX Mini Tower,Green,None,Mesh,14.9,0,1,
DIYPC ARGB-Q3 V2,MicroATX Mini Tower,Black,None,Tempered Glass,38.6,2,4,
1STPLAYER T3,MicroATX Mid Tower,Black,None,Tempered Glass,32.4,2,0,
Antec C6 Curve Air,ATX Mid Tower,Black,None,Tempered Glass,53,1,0,
In Win Chopin MAX,Mini ITX Desktop,Silver,200 W,Mesh,4.4,0,0,
Mars Gaming MC-MPRO,MicroATX Mini Tower,,None,Tempered Glass,29.9,2,0,
Antec NX200M RGB,MicroATX Mini Tower,Black,None,Tempered Glass,30.6,2,2,
NOX LITE030,MicroATX Mid Tower,Black,500 W,None,19.6,3,0,
Cooler Master MasterBox MB400L,MicroATX Mini Tower,Black,None,None,35.4,2,0,
Fractal Design Torrent Compact,ATX Mid Tower,Black,None,Tinted Tempered Glass,46.7,1,4,
HYTE REVOLT 3,Mini ITX Tower,Black,700 W,Mesh,18.4,1,4,229.99
Phanteks Eclipse P400A Digital,ATX Mid Tower,White,None,Tempered Glass,45.9,2,30,
MSI MPG GUNGNIR 110R,ATX Mid Tower,White,None,Tempered Glass,,2,1,
Fractal Design Torrent Compact,ATX Mid Tower,White,None,Tempered Glass,46.7,1,3,
Thermaltake The Tower 500,ATX Mid Tower,Black,None,Tempered Glass,93.9,8,1,
Cooler Master N300,ATX Mid Tower,Black,None,None,39.5,7,3,
Cooler Master MasterBox Lite 3.1,MicroATX Mid Tower,Black / Red,None,Tempered Glass,36.1,2,11,
Cooler Master MasterBox MB511,ATX Mid Tower,Black / Red,None,Acrylic,,2,4,
Corsair Carbide Series SPEC-06,ATX Mid Tower,Black / Red,None,Tempered Glass,,2,2,
Deepcool MATREXX 50,ATX Mid Tower,Black,None,Tempered Glass,44.5,2,9,
SSUPD Meshlicious,Mini ITX Tower,Black,None,Tempered Glass,14.7,0,3,
Fractal Design Define 7 Nano,Mini ITX Tower,Black,None,None,29.5,1,1,
SAMA IM01 Pro,MicroATX Mini Tower,Black,None,Tempered Glass,26.1,4,0,
Genesis Irid 505 ARGB V2,ATX Mid Tower,Black,None,Tempered Glass,50.2,2,0,
Enermax K8 RGB,ATX Mid Tower,White,None,Tempered Glass,50.4,2,0,
Deepcool CH560,ATX Mid Tower,White,None,Tempered Glass,49.6,2,0,
Thermaltake View 270,ATX Mid Tower,White,None,Tempered Glass,47.6,2,0,135.12
TRYX LUCA L70,ATX Mid Tower,White,None,Tempered Glass,80.9,0,0,
SHARKOON VG7-W RGB,ATX Mid Tower,Black,None,Acrylic,,3,0,
Cougar MX220 RGB,ATX Mid Tower,Black,None,Tempered Glass,39.1,2,0,
Lian Li TU150,Mini ITX Desktop,Silver,None,None,23.8,1,5,
Antec ISK 110 VESA,Mini ITX Desktop,Black / Silver,90 W,None,3.7,0,12,
KOLINK Citadel Mesh ARGB,ATX Mid Tower,Black,None,Tempered Glass,51.4,2,0,
Asus TUF Gaming GT502 Horizon,ATX Mid Tower,White,None,Tempered Glass,57.2,4,0,181.99
NOX Hummer ELEMENT,ATX Mid Tower,White / Beige,None,Tempered Glass,48.2,3,0,
eBlaztr eBlaztr,Mini ITX Desktop,Black,None,Mesh,19.4,0,0,
Thermaltake View 51 Snow ARGB Edition,ATX Full Tower,White,None,Tempered Glass,91,2,5,
Streacom DA6 XL,Mini ITX Test Bench,Black / Silver,None,None,21.5,4,3,
BGears b-Voguish RGB,ATX Mid Tower,Black,None,Tempered Glass,40.8,2,0,77.99
CiT Range,MicroATX Mini Tower,Black,None,Tempered Glass,26.8,1,0,
Chieftec Visio,ATX Mid Tower,Black,None,Tempered Glass,50.7,2,0,200.1
Sliger CX2151a,Rackmount 2U,Black,None,None,14.5,0,0,259
Fractal Design Define Mini,MicroATX Mini Tower,Black,None,None,40.5,6,25,
Deepcool CC560 ARGB,ATX Mid Tower,Black,None,Tempered Glass,41.7,2,4,
Phanteks Enthoo Pro M,ATX Mid Tower,Black,None,Acrylic,56.4,2,28,
Thermaltake Level 20 MT,ATX Mid Tower,Black,None,Tempered Glass,43.7,2,8,
Deepcool MATREXX 70 ADD-RGB 3F,ATX Mid Tower,Black,None,Tempered Glass,54.2,2,9,
Lian Li LANCOOL 205M,MicroATX Mid Tower,White / Black,None,Tempered Glass,,2,3,
Fractal Design Meshify 2,ATX Mid Tower,Black,None,Tinted Tempered Glass,61.7,6,17,
MUSETEX ‎TW8-S6 Mesh,ATX Mid Tower,Black,None,Tempered Glass,39.5,2,4,
Fractal Design Ridge PCIe 3.0,Mini ITX Tower,Black,None,Mesh,16.3,0,4,
Chieftec UK-02B-OP,ATX Mid Tower,Black,None,None,29.6,2,0,
Silverstone SG13,Mini ITX Tower,Black,None,None,11.5,1,13,73.48
Jonsbo D41 STD,ATX Mid Tower,Black,None,Tempered Glass,35.4,2,0,
Deepcool CH510,ATX Mid Tower,Black,None,Tempered Glass,47.1,2,2,
MSI MPG VELOX 100P AIRFLOW,ATX Mid Tower,Black,None,Tempered Glass,53.7,2,2,
Silverstone ML04 Type-C,HTPC,Black,None,Mesh,16,2,0,131.31
Asus TUF Gaming GT301,ATX Mid Tower,Pink / Black,None,Tempered Glass,43.9,2,1,249.99
GAMDIAS ARGUS E4 ELITE,ATX Mid Tower,Black,None,Tempered Glass,,2,1,
In Win ModFree Deluxe,ATX Full Tower,Black,None,Tempered Glass,84.5,1,0,230
Thermaltake Core P3,ATX Mid Tower,Red,None,Tempered Glass,80.1,2,2,
Thermaltake CTE T500,ATX Full Tower,Black,None,Tempered Glass,87.3,4,0,186.37
KOLINK Inspire K7 ARGB,ATX Mid Tower,Black,None,Tempered Glass,33.4,2,0,
BGears b-Optillusion,ATX Mid Tower,Black,None,Tempered Glass,38.7,1,0,59.99
Silverstone FARA 514X,ATX Mid Tower,Black,None,Tempered Glass,49.7,2,0,108.17
Silverstone ML04B,HTPC,Black,None,None,16,2,10,125.29
Chieftec APEX,ATX Mid Tower,Black,None,Tempered Glass,52.9,2,1,
Cooler Master MasterBox K501L,ATX Mid Tower,Black,None,Tempered Glass,,2,0,
be quiet! Silent Base 802,ATX Mid Tower,White,None,None,83.8,3,1,
Thermaltake Ceres 500,ATX Mid Tower,Black,None,Tempered Glass,65.3,2,5,
Cougar Airface Pro RGB,ATX Mid Tower,Black,None,Tempered Glass,55.4,2,0,
ADATA XPG Battlecruiser,ATX Mid Tower,Black,None,Tempered Glass,55.2,2,0,99.99
Fractal Design Meshify 2 RGB,ATX Mid Tower,White / Black,None,Tempered Glass,61.7,6,1,
Phanteks Eclipse P600S,ATX Mid Tower,Gray / Black,None,Tinted Tempered Glass,,4,14,
Corsair 5000D CORE AIRFLOW,ATX Mid Tower,White,None,Tempered Glass,66.2,2,0,
Cougar FV270 RGB,ATX Mid Tower,Black,None,Tempered Glass,72.7,2,0,
Antec Three Hundred Two,ATX Mid Tower,Black,None,None,54.9,6,16,
Corsair Carbide Series SPEC-03,ATX Mid Tower,Black / Red,None,Acrylic,36.1,3,42,
NZXT S340 Razer,ATX Mid Tower,Black / Green,None,Acrylic,38.4,3,25,
Corsair Carbide Series 270R,ATX Mid Tower,Black,None,None,,2,7,
Cooler Master MasterBox Pro 5 RGB,ATX Mid Tower,Black,None,Tempered Glass,53,2,19,
Cooler Master MasterBox Q300L TUF Gaming Edition,MicroATX Mini Tower,Black / Gold,None,Acrylic,33.6,1,4,
Fractal Design Meshify S2,ATX Mid Tower,Black,None,Tinted Tempered Glass,58.3,3,13,
NZXT H700,ATX Mid Tower,Black,None,Tempered Glass,58.6,2,5,
Phanteks Eclipse P500A D-RGB,ATX Mid Tower,White / Black,None,Tempered Glass,,2,20,
Azza Pyramid L,ATX Mid Tower,Gray / Black,None,Tempered Glass,,1,0,
Deepcool CK560,ATX Mid Tower,Black,None,Tempered Glass,,2,4,
NZXT H7,ATX Mid Tower,White / Black,None,Tempered Glass,55.8,2,3,
Zalman Z7 NEO,ATX Mid Tower,Black,None,Tempered Glass,41.2,2,2,
Asus A21 PLUS,MicroATX Mini Tower,White,None,Tempered Glass,44,2,0,
SilentiumPC Brutus M10,MicroATX Mid Tower,Black,None,None,29.7,2,0,
Antec P10C,ATX Mid Tower,Black,None,None,51,3,0,161.52
Thermaltake Ceres 350 MX,ATX Mid Tower,Blue,None,Tempered Glass,52.5,1,0,128.99
Silverstone FARA R1 PRO,ATX Mid Tower,Black,None,Tempered Glass,36,1,1,92.93
Silverstone GD07B,HTPC,Black,None,None,33.4,5,5,207.8
ARCTIC Xtender VG Mirror,ATX Mid Tower,Black,None,Tempered Glass,64.6,1,0,
Chieftec BU-12B-300,Mini ITX Tower,Black,300 W,None,7.5,1,0,
Silverstone ML08,HTPC,Black,None,Acrylic,,0,16,136.44
TRYX LUCA L70,ATX Mid Tower,Black,None,Tempered Glass,80.9,0,1,
Antec NX416L,ATX Mid Tower,Black,None,Tempered Glass,49.9,2,1,
BitFenix CETO Premium,ATX Mid Tower,Black,None,Tempered Glass,49,3,0,
Fractal Design Meshify 2 Compact White TG Clear Tint,ATX Mid Tower,White / Black,None,Tempered Glass,42.3,2,9,
Zalman T7,ATX Mid Tower,Black,None,Tinted Acrylic,34,2,1,
Cooler Master CMP 520,ATX Mid Tower,Black,None,Tempered Glass,41.5,2,0,
Thermaltake Ceres 350 MX,ATX Mid Tower,Black,None,Tempered Glass,52.5,1,1,134.99
Phanteks Enthoo Series Primo Aluminum,ATX Full Tower,Black,None,Acrylic,96.8,6,8,
Thermaltake Versa H22,ATX Mid Tower,Black,None,None,42.8,0,12,
Fractal Design Define Nano S,Mini ITX Desktop,Black,None,None,28.8,2,19,
Lian Li O11D XL-A,ATX Full Tower,Silver / Black,None,Tempered Glass,68.9,4,3,
Cougar Conquer 2,ATX Mid Tower,Black / Orange,None,Tempered Glass,172.8,2,0,
CiT MTX-008B,Mini ITX Desktop,Black,300 W,None,8.6,1,0,
Apex MW-100,Mini ITX Tower,Black / White,60 W,None,2.9,0,0,
Corsair Carbide Series 88R,MicroATX Mid Tower,Black,None,Acrylic,,2,37,
Corsair Carbide Series 400C,ATX Mid Tower,White,None,Acrylic,42.4,2,18,
Cooler Master HAF 912 New,ATX Mid Tower,Black,None,None,,6,5,
Corsair Crystal 570X RGB,ATX Mid Tower,Black / Red,None,Tempered Glass,57.5,2,4,
EVGA DG-86,ATX Full Tower,Gray,None,Acrylic,,8,4,
Rosewill FBM-06,MicroATX Mini Tower,Black,None,None,23.7,2,0,
Zalman Z3 Iceberg,ATX Mid Tower,White,None,Tempered Glass,41.3,2,0,
OCPC MINI,Mini ITX Test Bench,White,None,None,7.2,0,0,
Mars Gaming MC-CORE,MicroATX Mid Tower,Black,None,Tempered Glass,14.6,3,0,
Jonsbo RM2,ATX Mid Tower,Silver,None,None,21.5,1,0,
Corsair 2500X Satin,MicroATX Mini Tower,White / Gray,None,Tempered Glass,54.8,2,0,
Lian Li ODYSSEY X,ATX Full Tower,Black,None,Tempered Glass,,3,0,315.69
Corsair 2500X Obsidian,MicroATX Mini Tower,Black,None,Tempered Glass,54.8,2,0,
Thermaltake Tower 900 Snow Edition,ATX Full Tower,White,None,Tempered Glass,153.6,6,2,
Fractal Design Pop Mini Silent,MicroATX Mid Tower,Black,None,Tempered Glass,36.5,2,1,
Cougar Duoface RGB,ATX Mid Tower,White,None,Tempered Glass,43.6,2,1,
Thermaltake Core P8 TG,ATX Full Tower,Black,None,Tempered Glass,107.4,3,4,
Thermaltake View 380 XL TG ARGB,ATX Mid Tower,Yellow / Black,None,Tempered Glass,63.6,1,0,
GAMDIAS Talos M3 Mesh,ATX Mid Tower,White,None,Tempered Glass,48.6,2,0,71.97
Cooler Master MasterBox NR400 ,MicroATX Mid Tower,Black,None,Tempered Glass,35.5,3,16,
Fractal Design Meshify 2 Lite,ATX Mid Tower,White / Black,None,Tempered Glass,61.7,2,2,
NZXT H7 Flow RGB ,ATX Mid Tower,White,None,Tempered Glass,55.8,2,7,
Gigabyte C301 GLASS V2,ATX Mid Tower,Black,None,Tempered Glass,50.6,2,0,
Deepcool TESSERACT BF,ATX Mid Tower,Black / Blue,None,None,36.4,4,15,
Cooler Master Cosmos Infinity 30th Anniversary,ATX Full Tower,Black / Silver,None,Tempered Glass,129.5,2,0,
KRUX Leda,ATX Mid Tower,Black,None,Tempered Glass,43.5,2,0,
Phanteks Enthoo Pro M TG,ATX Mid Tower,Black,None,Tinted Tempered Glass,56.4,2,55,
NOX Hummer MC,ATX Mid Tower,Black / Red,None,Acrylic,43.6,2,0,
NZXT H700i,ATX Mid Tower,Black / Red,None,Tempered Glass,58.6,2,2,
Raidmax Alpha Prime,ATX Mid Tower,Black,None,Tempered Glass,44.8,2,3,
In Win D-Frame 2.0,ATX Full Tower,Black / Gold,1065 W,Tempered Glass,,4,0,
NZXT H510i,ATX Mid Tower,Black / Red,None,Tempered Glass,41.3,2,9,
SilentiumPC Signum SG1X TG RGB,ATX Mid Tower,Black,None,Tempered Glass,39.9,2,2,
Montech X1,ATX Mid Tower,Black,None,Tempered Glass,32.3,1,7,
NZXT H7 Elite ,ATX Mid Tower,,None,Tempered Glass,55.8,2,1,
MSI MPG GUNGNIR 120R,ATX Mid Tower,Black,None,Tempered Glass,45.5,2,0,
Vetroo AL600,ATX Mid Tower,Pink,None,Tempered Glass,41.7,3,1,
MSI MPG GUNGNIR 110M,ATX Mid Tower,Black,None,Tempered Glass,41.6,2,0,
Antec NX500M,MicroATX Mini Tower,Black,None,Tempered Glass,34.6,2,0,
Segotep T3 Aeolus,ATX Mid Tower,Black,None,Tempered Glass,54.4,3,0,
Cooler Master Elite 302 Lite,MicroATX Mini Tower,Black,None,Tempered Glass,34.1,1,0,
Chieftec BS-10B-300,MicroATX Mini Tower,Black,300 W,None,14.4,1,0,
GAMDIAS MARS M2,MicroATX Mid Tower,Black,None,Tempered Glass,,2,0,51.99
Azza Pyramid Mesh,ATX Mid Tower,Silver / Black,None,Mesh,140.5,1,0,419.99
Azza Pyramid Mini 806,Mini ITX Tower,Silver / Black,None,Tempered Glass,,0,0,339.99
Rosewill Helium Flow,ATX Mid Tower,Black,None,None,50.5,3,0,
ENDORFY Signum 300 Solid,ATX Mid Tower,Black,None,None,37.8,2,0,
Silverstone FARA 313,MicroATX Mid Tower,Black,None,None,26.7,3,0,
Apevia Destiny Pro,ATX Mid Tower,White / Black,None,Tempered Glass,42,2,0,79.98
GameMax Storm 2 AW,ATX Mid Tower,White,None,Tempered Glass,34.7,3,0,
MagniumGear Neo-G Mini V2,Mini ITX Tower,Black,None,Tempered Glass,,1,3,
Lazer3D LZX-8 Stealth,Mini ITX Desktop,Black,None,None,8.6,1,0,
Cougar Duoface RGB,ATX Mid Tower,Black,None,Tempered Glass,43.6,2,3,
Fractal Design Core 2300,ATX Mid Tower,Black,None,None,37.8,3,8,
Cougar PANZER MAX-G,ATX Full Tower,Black,None,Tempered Glass,90.5,2,1,
Azza Legionaire 470,ATX Mid Tower,Black,None,Mesh,46.8,2,0,109.99
SHARKOON VK3 RGB,ATX Mid Tower,Black,None,Tempered Glass,40.5,2,1,
Sliger CX3171a XL,Rackmount 3U,Black,None,None,24.7,3,0,329
iTek Dark Cave DS,ATX Mid Tower,Black,None,Tempered Glass,49.6,2,0,
Thermaltake View 71 TG Snow,ATX Full Tower,White,None,Acrylic,,4,6,
Cougar MX410 MESH-G RGB,ATX Mid Tower,Black,None,Tempered Glass,36.3,2,5,240.06
Jonsbo MOD-3,ATX Mid Tower,White,None,Tempered Glass,93.1,1,0,
In Win A1 Plus,Mini ITX Tower,White,650 W,Tempered Glass,21.8,0,7,
Fractal Design Pop XL Silent,ATX Full Tower,Black,None,Tempered Glass,62.4,3,0,
NOX HUMMER HORUS,ATX Mid Tower,Black,None,Tempered Glass,42.5,2,0,
Cooler Master HAF 932 AMD Limited Edition,ATX Full Tower,Black / Red,None,Acrylic,76.5,5,0,
Linkworld 617-03-c2228U,MicroATX Slim,Black / Silver,400 W,None,16.2,1,0,
Fractal Design Node 304,Mini ITX Tower,White,None,None,19.5,6,10,
In Win BQ656T.AD120TBL,Mini ITX Desktop,Black,120 W,None,3.3,0,0,
Corsair Graphite Series 760T,ATX Full Tower,White,None,Acrylic,78.8,6,13,
