Name,Type,Color,Power Supply,Side Panel,External volume,"Internal 3.5"" bays",Rating,Price
Lian Li O11D EVO RGB,ATX Mid Tower,White,None,Tempered Glass,65.3,4,13,158.99
Thermaltake View 170 ARGB,MicroATX Mini Tower,Black,None,Tempered Glass,35,1,8,64.98
Corsair 3500X ARGB,ATX Mid Tower,Black,None,Tempered Glass,55.9,2,20,119.99
Corsair 7000D AIRFLOW,ATX Full Tower,Black,None,Tempered Glass,81.8,6,19,269.99
Asus Prime AP201,MicroATX Mini Tower,Black,None,Mesh,33,3,60,89.99
Silverstone FLP02,ATX Mid Tower,White,None,None,54.1,4,0,229.99
Antec C8,ATX Full Tower,Black,None,Tempered Glass,66.9,2,14,99.99
Cooler Master Elite 302,MicroATX Mini Tower,Black,None,Tempered Glass,34.1,1,1,
Antec C5 ARGB,ATX Mid Tower,Black,None,Tempered Glass,,1,36,109.97
NZXT H9 Flow RGB+ ,ATX Mid Tower,White,None,Tempered Glass,76.7,2,2,229.99
Jonsbo C6-ITX,Mini ITX Desktop,Black,None,Mesh,15.9,1,0,65
Fractal Design North,ATX Mid Tower,White,None,Tempered Glass,45.1,2,49,154.99
Montech KING 95 PRO,ATX Mid Tower,Black,None,Tempered Glass,63,5,39,129.9
NZXT H9 Flow RGB+ ,ATX Mid Tower,Black,None,Tinted Tempered Glass,76.7,2,5,249.99
Jonsbo NV10,Mini ITX Desktop,Black / Brown,None,Mesh,4.5,0,0,
Antec FLUX PRO,ATX Full Tower,Black / Brown,None,Tempered Glass,70.8,4,8,154.99
Fractal Design Terra,Mini ITX Desktop,Silver / Brown,None,Mesh,11.4,0,13,172.99
Lian Li A3-mATX,MicroATX Mini Tower,White / Brown,None,Tempered Glass,26.3,1,8,89.99
Lian Li LANCOOL 217 INF,ATX Mid Tower,Black,None,Tempered Glass,57.7,4,5,124.99
Deepcool CG530 4F,ATX Mid Tower,Black,None,Tinted Acrylic,50,2,7,
Lian Li LANCOOL 216,ATX Mid Tower,Black,None,Tempered Glass,55.6,2,30,98.99
Jonsbo Jonsplus Z20,MicroATX Desktop,Black,None,Tempered Glass,25.3,1,19,99
Antec NX200M,MicroATX Mid Tower,Black,None,Tempered Glass,,2,7,49.99
NZXT H9 Flow ,ATX Mid Tower,White,None,Tempered Glass,76.7,2,1,119.99
Fractal Design North,ATX Mid Tower,Black,None,Mesh,45.1,2,37,154.99
