System,Brand,Range,,Type,Mount,Lens,,FL (mm),Max FL (mm),Max. Aper.,Filter (mm),MFD (cm),Diam. (mm),Diam. (in.),Length (mm),Length (in.),Weight (g),Weight (oz),IS,WR,Elements,Blades,Current Price,,Notes,Launch Year,Launch Price (USD),Source URL
Sony,Tamron,Zoom,01/10/2023,,E,70-180mm F2.8 Di III VC VXD G2,01/10/2023,70,70,2.8,67,,83,,156.5,,855,,Yes,,,,,01/10/2023,,2023,1300,https://www.tamron.com
Sony,Tamron,Zoom,01/09/2020,,E,70-300mm F4.5-6.3 Di III RXD,01/09/2020,70,70,4.5,67,,77,,148,,545,,No,,,,,01/09/2020,,2020,550,https://www.tamron.com
Sony,Tamron,Zoom,01/06/2024,,E,50-300mm F4.5-6.3 Di III VC VXD,01/06/2024,50,50,4.5,67,,78,,150,,665,,Yes,,,,,01/06/2024,,2024,800,https://www.tamron.com
Sony,Tamron,Zoom,01/09/2022,,E,50-400mm F4.5-6.3 Di III VC VXD,01/09/2022,50,50,4.5,67,,77,,183.4,,1155,,Yes,,,,,01/09/2022,,2022,1300,https://www.tamron.com
Sony,Tamron,Zoom,01/04/2021,,E,150-500mm F5-6.7 Di III VC VXD,01/04/2021,150,150,5,82,,93,,209.6,,1725,,Yes,,,,,01/04/2021,,2021,1400,https://www.tamron.com
Sony,7Artisans,Prime,01/12/2023,,E,AF 50mm F1.8,01/12/2023,50,1.8,,62,,72,,104,,421,,No,,,,,01/12/2023,,2023,250,https://www.7artisans.com
Sony,AstrHori,Prime,01/12/2022,,E,85mm F1.8 AF,01/12/2022,85,1.8,,72,,80,,93.5,,626,,No,,,,,01/12/2022,,2022,300,https://www.astrhori.com
Sony,LAOWA,Prime,01/01/2024,,E,10mm f2.8 Zero-D FF,01/01/2024,10,2.8,,77,,82,,72.8,,420,,No,,,,,01/01/2024,,2024,700,https://www.laowa.com
Sony,LAOWA,Prime,01/06/2025,,E,12mm f2.8 Lite Zero-D FF,01/06/2025,12,2.8,,72,,77,,76.5,,377,,No,,,,,01/06/2025,,2025,600,https://www.laowa.com
Sony,LAOWA,Prime,01/09/2025,,E,180mm f4.5 1.5X Ultra Macro APO,01/09/2025,180,4.5,,62,,67.6,,134.4,,521.6,,No,,,,,01/09/2025,,2025,500,https://www.laowa.com
Sony,LAOWA,Prime,01/10/2025,,E,200mm f2 AF FF,01/10/2025,200,2,,105,,118,,174.8,,1588,,No,,,,,01/10/2025,,2025,1500,https://www.laowa.com
Sony,Meike,Prime,01/11/2023,,E,85mm F1.4 AF,01/11/2023,85,1.4,,77,,87,,114,,735,,No,,,,,01/11/2023,,2023,550,https://www.meike.com
Sony,Meike,Prime,01/11/2024,,E,85mm f1.8 Pro FF AF STM,01/11/2024,85,1.8,,62,,76,,95,,389,,No,,,,,01/11/2024,,2024,350,https://www.meike.com
Sony,Meike,Prime,01/11/2025,,E,85mm F1.8 SE Mark II,01/11/2025,85,1.8,,62,,76,,100.2,,369,,No,,,,,01/11/2025,,2025,300,https://www.meike.com
Sony,Meike,Prime,01/06/2022,,E,85mm F1.8 FF STM,01/06/2022,85,1.8,,67,,79.5,,?,,386,,No,,,,,01/06/2022,,2022,280,https://www.meike.com
Sony,Samyang,Prime,01/08/2016,,E,AF 14mm F2.8 FE,01/08/2016,14,2.8,,-,,86,,97.5,,500,,No,,,,,01/08/2016,,2016,900,https://www.samyanglens.com
Sony,Samyang,Prime,01/07/2025,,E,AF 16mm F2.8 P FE,01/07/2025,16,2.8,,62,,69.8,,70.5,,207,,No,,,,,01/07/2025,,2025,350,https://www.samyanglens.com
Sony,Samyang,Prime,01/08/2019,,E,AF 18mm F2.8 FE,01/08/2019,18,2.8,,58,,63.5,,60.5,,145,,No,,,,,01/08/2019,,2019,400,https://www.samyanglens.com
Sony,Samyang,Prime,,,E,V-AF 20mm T1.9 FE,,20,T1.9,,TBD,,TBD,,TBD,,280,,No,,,,,,,2022,650,https://www.samyanglens.com
Sony,Samyang,Prime,01/04/2021,,E,AF 24mm F1.8 FE,01/04/2021,24,1.8,,58,,65,,71.5,,230,,No,,,,,01/04/2021,,2020,400,https://www.viltrox.com
Sony,Samyang,Prime,01/11/2022,,E,V-AF 24mm T1.9 FE,01/11/2022,24,T1.9,,58,,72.2,,72.1,,280,,No,,,,,01/11/2022,,2022,650,https://www.samyanglens.com
Sony,Samyang,Prime,01/06/2018,,E,AF 24mm F2.8 FE,01/06/2018,24,2.8,,49,,61.8,,37.0,,120,,No,,,,,01/06/2018,,2018,300,https://www.samyanglens.com
Sony,Samyang,Prime,01/10/2017,,E,AF 35mm F1.4 FE,01/10/2017,35,1.4,,67,,75.9,,115,,645,,No,,,,,01/10/2017,,2017,800,https://www.samyanglens.com
Sony,Samyang,Prime,01/03/2022,,E,AF 35mm F1.4 FE II,01/03/2022,35,1.4,,67,,75.0,,115.0,,659,,No,,,,,01/03/2022,,2017,800,https://www.samyanglens.com
Sony,Samyang,Prime,01/12/2024,,E,AF 35mm F1.4 P FE,01/12/2024,35,1.4,,67,,75.0,,99.2,,470,,No,,,,,01/12/2024,,2024,600,https://www.samyanglens.com
Sony,Samyang,Prime,01/09/2020,,E,AF 35mm F1.8 FE,01/09/2020,35,1.8,,58,,65.0,,63.5,,210,,No,,,,,01/09/2020,,2021,400,https://www.viltrox.com
Sony,Samyang,Prime,01/03/2026,,E,AF 35mm F1.8 P FE,01/03/2026,35,1.8,,62,,69.8,,71.5,,216,,No,,,,,01/03/2026,,2026,350,https://www.samyanglens.com
Sony,Samyang,Prime,01/11/2022,,E,V-AF 35mm T1.9 FE,01/11/2022,35,T1.9,,58,,72.2,,72.1,,280,,No,,,,,01/11/2022,,2022,650,https://www.samyanglens.com
Sony,Samyang,Prime,01/06/2017,,E,AF 35mm F2.8 FE,01/06/2017,35,2.8,,"49
/40.5",,61.8,,33,,108.1,,No,,,,,01/06/2017,,2017,350,https://www.samyanglens.com
Sony,Samyang,Prime,01/05/2019,,E,AF 45mm F1.8 FE,01/05/2019,45,1.8,,49,,61.8,,56.1,,162,,No,,,,,01/05/2019,,2019,400,https://www.samyanglens.com
Sony,Samyang,Prime,01/05/2023,,E,V-AF 45mm T1.9 FE,01/05/2023,45,T1.9,,58,,72.2,,72.1,,280,,No,,,,,01/05/2023,,2023,650,https://www.samyanglens.com
Sony,Samyang,Prime,01/05/2016,,E,AF 50mm F1.4 FE,01/05/2016,50,1.4,,67,,73.5,,97.7,,585,,No,,,,,01/05/2016,,2016,800,https://www.samyanglens.com
Sony,Samyang,Prime,01/11/2021,,E,AF 50mm F1.4 FE II,01/11/2021,50,1.4,,72,,80.1,,88.9,,420,,No,,,,,01/11/2021,,2016,800,https://www.samyanglens.com
Sony,Samyang,Prime,01/04/2020,,E,AF 75mm F1.8 FE,01/04/2020,75,1.8,,58,,65.0,,69.0,,230,,No,,,,,01/04/2020,,2020,500,https://www.samyanglens.com
Sony,Samyang,Prime,01/09/2022,,E,V-AF 75mm T1.9 FE,01/09/2022,75,T1.9,,58,,72.2,,72.1,,280,,No,,,,,01/09/2022,,2022,650,https://www.samyanglens.com
Sony,Samyang,Prime,01/03/2019,,E,AF 85mm F1.4 FE,01/03/2019,85,1.4,,77,,88.0,,99.5,,568,,No,,,,,01/03/2019,,2019,800,https://www.samyanglens.com
Sony,Samyang,Prime,01/07/2022,,E,AF 85mm F1.4 FE II,01/07/2022,85,1.4,,72,,83.4,,99.5,,509,,No,,,,,01/07/2022,,2019,800,https://www.samyanglens.com
Sony,Samyang,Prime,01/07/2025,,E,AF 85mm F1.8 P FE,01/07/2025,85,1.8,,62,,69.8,,71.5,,272,,No,,,,,01/07/2025,,2025,400,https://www.samyanglens.com
Sony,Samyang,Prime,01/01/2022,,E,AF 135mm F1,01/01/2022,135,1.8,,82,,93.4,,129.6,,772,,No,,,,,01/01/2022,,2022,1400,https://www.samyanglens.com
Sony,Sigma,Prime,01/06/2023,,E,14mm F1.4 DG DN | Art,01/06/2023,14,1.4,,-,,101.4,,151.9,,1160,,No,,,,,01/06/2023,,2023,1600,https://www.sigma-global.com
Sony,Sigma,Prime,01/02/2017,,E,14mm F1.8 DG HSM | Art,01/02/2017,14,1.8,,-,,95.4,,152,,1170,,No,,,,,01/02/2017,,2017,1600,https://www.sigma-global.com
Sony,Sigma,Prime,01/02/2024,,E,15mm F1.4 DG DN DIAGONAL FISHEYE | Art,01/02/2024,15,1.4,,-,,104,,159.9,,1360,,No,,,,,01/02/2024,,2024,2200,https://www.sigma-global.com
Sony,Sigma,Prime,01/04/2023,,E,17mm F4 DG DN | Contemporary (I series),01/04/2023,17,4,,55,,64.0,,50.8,,220,,No,,,,,01/04/2023,,2023,600,https://www.sigma-global.com
Sony,Sigma,Prime,01/08/2022,,E,20mm F1.4 DG DN | Art,01/08/2022,20,1.4,,82,,87.8,,113.2,,630,,No,,,,,01/08/2022,,2022,900,https://www.sigma-global.com
Sony,Sigma,Prime,01/02/2018,,E,20mm F1.4 DG HSM | Art,01/02/2018,20,1.4,,-,,90.7,,155.8,,1015,,No,,,,,01/02/2018,,2022,900,https://www.sigma-global.com
Sony,Sigma,Prime,01/02/2022,,E,20mm F2 DG DN | Contemporary (I series),01/02/2022,20,2,,62,,70,,74.4,,370,,No,,,,,01/02/2022,,2022,550,https://www.sigma-global.com
Sony,Sigma,Prime,01/08/2022,,E,24mm F1.4 DG DN | Art,01/08/2022,24,1.4,,72,,75.7,,97.5,,510,,No,,,,,01/08/2022,,2022,800,https://www.sigma-global.com
Sony,Sigma,Prime,01/02/2018,,E,24mm F1.4 DG HSM | Art,01/02/2018,24,1.4,,77,,85.4,,116.2,,740,,No,,,,,01/02/2018,,2022,800,https://www.sigma-global.com
Sony,Sigma,Prime,01/09/2021,,E,24mm F2 DG DN | Contemporary (I series),01/09/2021,24,2,,62,,70,,74,,360,,No,,,,,01/09/2021,,2021,650,https://www.sigma-global.com
Sony,Sigma,Prime,01/12/2020,,E,24mm F3.5 DG DN | Contemporary (I series),01/12/2020,24,3.5,,55,,64,,50.8,,230,,No,,,,,01/12/2020,,2020,550,https://www.sigma-global.com
Sony,Sigma,Prime,01/09/2018,,E,28mm F1.4 DG HSM | Art,01/09/2018,28,1.4,,77,,82.8,,133.7,,925,,No,,,,,01/09/2018,,2018,800,https://www.sigma-global.com
Sony,Sigma,Prime,01/09/2025,,E,35mm F1.2 DG II | Art,01/09/2025,35,1.2,,72,,81.0,,111.4,,750,,No,,,,,01/09/2025,,2025,1600,https://www.sigma-global.com
Sony,Sigma,Prime,01/07/2019,,E,35mm F1.2 DG DN | Art,01/07/2019,35,1.2,,82,,87.8,,138.2,,1080,,No,,,,,01/07/2019,,2025,1600,https://www.sigma-global.com
