2026-06-26 13:38:53 | INFO     | ss_crawler | [crawler] Fetching listing 2/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/fdjpc.html
2026-06-26 13:38:56 | INFO     | ss_crawler | [listing_versioning] Legacy listing fdjpc v1 matches by computed fingerprint, updating
2026-06-26 13:38:56 | INFO     | ss_crawler | [repository] ⏸️ fdjpc: Unchanged
2026-06-26 13:38:56 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\fdjpc_9df4e3e0.jpg
2026-06-26 13:38:56 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: NVIDIA GeForce RTX 5070 Ti (90% confidence) | Asus Rtx 5070 ti
2026-06-26 13:38:56 | INFO     | ss_crawler | [crawler] Fetching listing 3/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/dkpex.html
2026-06-26 13:38:59 | INFO     | ss_crawler | [listing_versioning] Legacy listing dkpex v1 matches by computed fingerprint, updating
2026-06-26 13:38:59 | INFO     | ss_crawler | [repository] ⏸️ dkpex: Unchanged
2026-06-26 13:38:59 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\dkpex_831fea8a.jpg
2026-06-26 13:38:59 | INFO     | ss_crawler | [scraper] ⚠️ LOW_CONFIDENCE: Matched: NVIDIA GeForce G 100 (60% confidence) - BELOW THRESHOLD | Palit Geforce
2026-06-26 13:38:59 | INFO     | ss_crawler | [crawler] Fetching listing 4/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/bolpdx.html
2026-06-26 13:39:02 | INFO     | ss_crawler | [listing_versioning] Legacy listing bolpdx v1 matches by computed fingerprint, updating
2026-06-26 13:39:03 | INFO     | ss_crawler | [repository] ⏸️ bolpdx: Unchanged
2026-06-26 13:39:03 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\bolpdx_396c7e1e.jpg
2026-06-26 13:39:03 | INFO     | ss_crawler | [scraper] ⚠️ LOW_CONFIDENCE: Matched: NVIDIA GeForce GT 120 (65% confidence) - BELOW THRESHOLD | Cmp 90hx
2026-06-26 13:39:03 | INFO     | ss_crawler | [crawler] Fetching listing 5/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/pplej.html
2026-06-26 13:39:06 | INFO     | ss_crawler | [listing_versioning] Legacy listing pplej v3 matches by computed fingerprint, updating
2026-06-26 13:39:06 | INFO     | ss_crawler | [repository] ⏸️ pplej: Unchanged
2026-06-26 13:39:06 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\pplej_f8250ce9.jpg
2026-06-26 13:39:06 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: NVIDIA GeForce GTX 1080 (86% confidence) | Asus Asus rog strix
2026-06-26 13:39:06 | INFO     | ss_crawler | [crawler] Fetching listing 6/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/ecbnm.html
2026-06-26 13:39:09 | INFO     | ss_crawler | [listing_versioning] Legacy listing ecbnm v1 matches by computed fingerprint, updating
2026-06-26 13:39:09 | INFO     | ss_crawler | [repository] ⏸️ ecbnm: Unchanged
2026-06-26 13:39:09 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\ecbnm_9a91ca53.jpg
2026-06-26 13:39:09 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: AMD Radeon RX 7600 (86% confidence) | Gigabyte Rx 7600
2026-06-26 13:39:09 | INFO     | ss_crawler | [crawler] Fetching listing 7/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/ddxli.html
2026-06-26 13:39:11 | INFO     | ss_crawler | [listing_versioning] Legacy listing ddxli v1 matches by computed fingerprint, updating
2026-06-26 13:39:11 | INFO     | ss_crawler | [repository] ⏸️ ddxli: Unchanged
2026-06-26 13:39:11 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\ddxli_47534c28.jpg
2026-06-26 13:39:11 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: AMD Radeon RX 6600 (100% confidence) | Sapphire Rx6600
2026-06-26 13:39:11 | INFO     | ss_crawler | [crawler] Fetching listing 8/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/ghcle.html
2026-06-26 13:39:13 | INFO     | ss_crawler | [listing_versioning] Legacy listing ghcle v1 matches by computed fingerprint, updating
2026-06-26 13:39:13 | INFO     | ss_crawler | [repository] ⏸️ ghcle: Unchanged
2026-06-26 13:39:13 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\ghcle_4b29124e.jpg
2026-06-26 13:39:13 | INFO     | ss_crawler | [scraper] ⚠️ LOW_CONFIDENCE: Matched: NVIDIA GeForce RTX 3080 (63% confidence) - BELOW THRESHOLD | Rtx 3080
2026-06-26 13:39:13 | INFO     | ss_crawler | [crawler] Fetching listing 9/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/aegpi.html
2026-06-26 13:39:15 | INFO     | ss_crawler | [listing_versioning] Legacy listing aegpi v1 matches by computed fingerprint, updating
2026-06-26 13:39:15 | INFO     | ss_crawler | [repository] ⏸️ aegpi: Unchanged
2026-06-26 13:39:15 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\aegpi_37c6e177.jpg
2026-06-26 13:39:15 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: NVIDIA GeForce RTX 3050 8GB (75% confidence) | Asus 3050 rog strix
2026-06-26 13:39:15 | INFO     | ss_crawler | [crawler] Fetching listing 10/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/gohjb.html
2026-06-26 13:39:18 | INFO     | ss_crawler | [listing_versioning] Legacy listing gohjb v2 matches by computed fingerprint, updating
2026-06-26 13:39:18 | INFO     | ss_crawler | [repository] ⏸️ gohjb: Unchanged
2026-06-26 13:39:18 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\gohjb_147773e3.jpg
2026-06-26 13:39:18 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: NVIDIA GeForce RTX 5080 (90% confidence) | MSI 5080
2026-06-26 13:39:18 | INFO     | ss_crawler | [crawler] Fetching listing 11/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/fenic.html
2026-06-26 13:39:19 | INFO     | ss_crawler | [listing_versioning] Legacy listing fenic v1 matches by computed fingerprint, updating
2026-06-26 13:39:19 | INFO     | ss_crawler | [repository] ⏸️ fenic: Unchanged
2026-06-26 13:39:19 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\fenic_07eba8b0.jpg
2026-06-26 13:39:19 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: AMD Radeon RX 9070 XT (86% confidence) | Sapphire Rx 9070 xt
2026-06-26 13:39:19 | INFO     | ss_crawler | [crawler] Fetching listing 12/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/exfjn.html
2026-06-26 13:39:23 | INFO     | ss_crawler | [listing_versioning] Legacy listing exfjn v1 matches by computed fingerprint, updating
2026-06-26 13:39:23 | INFO     | ss_crawler | [repository] ⏸️ exfjn: Unchanged
2026-06-26 13:39:23 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\exfjn_fe557503.jpg
2026-06-26 13:39:23 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: NVIDIA GeForce RTX 4090 (90% confidence) | Gigabyte Rtx 4090 oc
2026-06-26 13:39:23 | INFO     | ss_crawler | [crawler] Fetching listing 13/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/fmflm.html
2026-06-26 13:39:26 | WARNING  | ss_crawler | [parser] No price found for https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/fmflm.html
2026-06-26 13:39:26 | INFO     | ss_crawler | [listing_versioning] Legacy listing fmflm v2 matches by computed fingerprint, updating
2026-06-26 13:39:26 | INFO     | ss_crawler | [repository] ⏸️ fmflm: Unchanged
2026-06-26 13:39:26 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\fmflm_e9b7c6a9.jpg
2026-06-26 13:39:26 | INFO     | ss_crawler | [scraper] ❓ UNMATCHED: No GPU match found | Покупаю видеокарты от 4 гб разных моделей по одной...
2026-06-26 13:39:26 | INFO     | ss_crawler | [crawler] Fetching listing 14/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/bjbhbk.html
2026-06-26 13:39:28 | INFO     | ss_crawler | [listing_versioning] Legacy listing bjbhbk v2 matches by computed fingerprint, updating
2026-06-26 13:39:28 | INFO     | ss_crawler | [repository] ⏸️ bjbhbk: Unchanged
2026-06-26 13:39:28 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\bjbhbk_cad4ce9a.jpg
2026-06-26 13:39:28 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: NVIDIA GeForce RTX 3070 (86% confidence) | Asus Rtx3070
2026-06-26 13:39:28 | INFO     | ss_crawler | [crawler] Fetching listing 15/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/bkbkp.html
2026-06-26 13:39:31 | INFO     | ss_crawler | [listing_versioning] Legacy listing bkbkp v1 matches by computed fingerprint, updating
2026-06-26 13:39:31 | INFO     | ss_crawler | [repository] ⏸️ bkbkp: Unchanged
2026-06-26 13:39:31 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\bkbkp_b755ebdf.jpg
2026-06-26 13:39:31 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: NVIDIA GeForce GTX 1070 Ti (90% confidence) | Asus Gtx 1070 ti
2026-06-26 13:39:31 | INFO     | ss_crawler | [crawler] Fetching listing 16/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/ejjjb.html
2026-06-26 13:39:34 | INFO     | ss_crawler | [listing_versioning] Legacy listing ejjjb v1 matches by computed fingerprint, updating
2026-06-26 13:39:34 | INFO     | ss_crawler | [repository] ⏸️ ejjjb: Unchanged
2026-06-26 13:39:34 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\ejjjb_e98f6d4a.jpg
2026-06-26 13:39:34 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: NVIDIA GeForce RTX 3080 Ti (75% confidence) | MSI 3080 ti
2026-06-26 13:39:34 | INFO     | ss_crawler | [crawler] Fetching listing 17/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/bjckoi.html
2026-06-26 13:39:36 | INFO     | ss_crawler | [listing_versioning] Legacy listing bjckoi v2 matches by computed fingerprint, updating
2026-06-26 13:39:36 | INFO     | ss_crawler | [repository] ⏸️ bjckoi: Unchanged
2026-06-26 13:39:36 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\bjckoi_4f2539b5.jpg
2026-06-26 13:39:36 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: AMD Radeon RX 580 (86% confidence) | STB Rx580
2026-06-26 13:39:36 | INFO     | ss_crawler | [crawler] Fetching listing 18/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/niick.html
2026-06-26 13:39:38 | INFO     | ss_crawler | [listing_versioning] Legacy listing niick v2 matches by computed fingerprint, updating
2026-06-26 13:39:38 | INFO     | ss_crawler | [repository] ⏸️ niick: Unchanged
2026-06-26 13:39:38 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\niick_f3d2c5e7.jpg
2026-06-26 13:39:38 | INFO     | ss_crawler | [scraper] ❓ UNMATCHED: No GPU match found | nVidia T1000
2026-06-26 13:39:38 | INFO     | ss_crawler | [crawler] Fetching listing 19/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/ggbpm.html
2026-06-26 13:39:40 | INFO     | ss_crawler | [listing_versioning] Legacy listing ggbpm v1 matches by computed fingerprint, updating
2026-06-26 13:39:40 | INFO     | ss_crawler | [repository] ⏸️ ggbpm: Unchanged
2026-06-26 13:39:40 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\ggbpm_b323720d.jpg
2026-06-26 13:39:40 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: NVIDIA GeForce GTX 1660 (86% confidence) | Gtx 1660 super
2026-06-26 13:39:40 | INFO     | ss_crawler | [crawler] Fetching listing 20/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/blgiel.html
2026-06-26 13:39:42 | INFO     | ss_crawler | [listing_versioning] Legacy listing blgiel v2 matches by computed fingerprint, updating
2026-06-26 13:39:42 | INFO     | ss_crawler | [repository] ⏸️ blgiel: Unchanged
2026-06-26 13:39:42 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\blgiel_6e2d44a6.jpg
2026-06-26 13:39:42 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: NVIDIA GeForce RTX 3070 (75% confidence) | Gigabyte 3070 gaming oc
2026-06-26 13:39:42 | INFO     | ss_crawler | [crawler] Fetching listing 21/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/ceimm.html
2026-06-26 13:39:45 | INFO     | ss_crawler | [listing_versioning] Legacy listing ceimm v1 matches by computed fingerprint, updating
2026-06-26 13:39:45 | INFO     | ss_crawler | [repository] ⏸️ ceimm: Unchanged
2026-06-26 13:39:45 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\ceimm_d6f40678.jpg
2026-06-26 13:39:45 | INFO     | ss_crawler | [scraper] ❓ UNMATCHED: No GPU match found | Gigabyte Geforce rtx
2026-06-26 13:39:45 | INFO     | ss_crawler | [crawler] Fetching listing 22/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/dphlg.html
2026-06-26 13:39:46 | INFO     | ss_crawler | [listing_versioning] Legacy listing dphlg v1 matches by computed fingerprint, updating
2026-06-26 13:39:46 | INFO     | ss_crawler | [repository] ⏸️ dphlg: Unchanged
2026-06-26 13:39:46 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\dphlg_abeaef32.jpg
2026-06-26 13:39:46 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: AMD Radeon RX 6800 XT (86% confidence) | Asus Rx 6800 xt
2026-06-26 13:39:47 | INFO     | ss_crawler | [crawler] Fetching listing 23/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/echnb.html
2026-06-26 13:39:49 | INFO     | ss_crawler | [listing_versioning] Legacy listing echnb v1 matches by computed fingerprint, updating
2026-06-26 13:39:49 | INFO     | ss_crawler | [repository] ⏸️ echnb: Unchanged
2026-06-26 13:39:49 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\echnb_94bbcde9.jpg
2026-06-26 13:39:49 | INFO     | ss_crawler | [scraper] ❓ UNMATCHED: No GPU match found | Gigabyte Geforce rtx
2026-06-26 13:39:49 | INFO     | ss_crawler | [crawler] Fetching listing 24/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/dfohh.html
2026-06-26 13:39:52 | INFO     | ss_crawler | [listing_versioning] Legacy listing dfohh v1 matches by computed fingerprint, updating
2026-06-26 13:39:52 | INFO     | ss_crawler | [repository] ⏸️ dfohh: Unchanged
2026-06-26 13:39:52 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\dfohh_26c49cd2.jpg
2026-06-26 13:39:52 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: NVIDIA GeForce RTX 3070 (86% confidence) | Gigabyte Rtx 3070
2026-06-26 13:39:52 | INFO     | ss_crawler | [crawler] Fetching listing 25/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/boploi.html
2026-06-26 13:39:54 | INFO     | ss_crawler | [listing_versioning] Legacy listing boploi v1 matches by computed fingerprint, updating
2026-06-26 13:39:54 | INFO     | ss_crawler | [repository] ⏸️ boploi: Unchanged
2026-06-26 13:39:54 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\boploi_b0564b1e.jpg
2026-06-26 13:39:54 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: NVIDIA GeForce RTX 3070 Ti (90% confidence) | Palit 3070 ti
2026-06-26 13:39:54 | INFO     | ss_crawler | [crawler] Fetching listing 26/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/bpbbfg.html
2026-06-26 13:39:57 | INFO     | ss_crawler | [listing_versioning] Legacy listing bpbbfg v1 matches by computed fingerprint, updating
2026-06-26 13:39:57 | INFO     | ss_crawler | [repository] ⏸️ bpbbfg: Unchanged
2026-06-26 13:39:57 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\bpbbfg_be5e933f.jpg
2026-06-26 13:39:57 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: NVIDIA GeForce GTX 1070 (86% confidence) | MSI Gtx 1070
2026-06-26 13:39:57 | INFO     | ss_crawler | [crawler] Fetching listing 27/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/dhgpd.html
2026-06-26 13:40:00 | INFO     | ss_crawler | [listing_versioning] Legacy listing dhgpd v1 matches by computed fingerprint, updating
2026-06-26 13:40:00 | INFO     | ss_crawler | [repository] ⏸️ dhgpd: Unchanged
2026-06-26 13:40:00 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\dhgpd_719db8c7.jpg
2026-06-26 13:40:00 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: NVIDIA GeForce RTX 3060 Ti (75% confidence) | Asus 3060 Ti
