System Name,Company,Release,GEN
Game Gear,,"JP: October 6, 1990 NA: April 26, 1991 EU: April 26, 1991",4
Genesis Model 2,,1993,4
Genesis CDX,,April 1994,4
Mega Jet,,"March 10, 1994",4
Sega CD 2,,"April 23, 1993",4
Genesis 3,Sega/Majesco Entertainment,1998,4
Sega Pico,,"June 26, 1993",4
Neo-Geo AES,SNK,"April 26, 1990",4
Neo-Geo CD (Front Loading),,"September 9, 1994",4
Neo-Geo CD (Top Loading),,January 1996,4
Neo-Geo CDZ,,"December 29, 1995",4
WOWOW,Taito,Cancelled (supposed to be released in 1992),4
Wondermega,Victor/Sega,"April 1, 1992",4
Wondermega 2,,"July 2, 1993",4
The Vistar 16,Vistar,,4
PreComputer 1000,VTech,1988,4
Supervision (Game Boy Esque),Watara,1992,4
Supervision (Tilting Screen),,1992,4
Supervision Magnum,,,4
Mega Duck/Cougar Boy,Welback Holdings,1993,4
Mega Duck Super Junior Computer,,,4
Atari Jaguar,Atari Corporation,"November 23, 1993",5
Atari Jaguar CD,,"September 21, 1995",5
Atari Jaguar Duo,,Cancelled,5
Playdia,Bandai,"September 23, 1994",5
Design Master Senshi,,1995,5
Apple Bandai Pippin,Bandai /Apple Inc.,"March 28, 1995",5
CPS Changer,Capcom,1994,5
Casio Loopy,Casio,"October 19, 1995",5
Amiga CD32,Commodore,"September 17, 1993",5
FM Towns Marty,Fujitsu,"February 20, 1993",5
FM Towns Marty 2,,1994,5
FM Towns Car Marty,,April 1994,5
Video Buddy,Interactive Learning Group,1999,5
PasoGo,Koei,1996,5
Game Wizard,MGA Entertainment,1994,5
PC-FX,NEC,"December 23, 1994",5
Nintendo 64,Nintendo,"June 23, 1996",5
Nintendo 64DD,,"December 1, 1999",5
Virtual Boy,,"JP: July 21, 1995 NA: August 14, 1995",5
Envision,Olivetti,1995,5
FZ-1 R•E•A•L 3DO Interactive Multiplayer,Panasonic,"October 4, 1993",5
FZ-10 R•E•A•L 3DO Interactive Multiplayer,,"November 11, 1994",5
"N-1005 3DO CD Changer ""ROBO""",,,5
IMP-21J TRY 3DO Interactive Multiplayer,Sanyo,"March , 1995",5
GDO-101 3DO Interactive Multiplayer,GoldStar,1994,5
GDO-203P 3DO Alive II,,,5
Sega Saturn,Sega,"November 22, 1994",5
Nomad,,JP: October 1995 NA: October 1995,5
Neo Geo Pocket,SNK,"JP: October 28, 1998",5
Neo Geo Pocket Color,,"NA: June 1, 1999  PAL: October 1, 1999",5
PlayStation,Sony,"December 3, 1994",5
PSOne,,"July 7, 2000",5
Net Yaroze,,June 1996,5
R-Zone,Tiger Electronics,1995,5
R-Zone Super Screen,,1996,5
"R-Zone X.P.G. ""Xtreme Pocket Game""",,1997,5
R-Zone DataZone,,1996,5
Game.com,,NA:September 1997,5
Game.com Pocket Pro,,"June, 1999",5
Kiss-Site,Tomy,1997,5
Game BQA,?,200x,6
Treamcast,?,200x,6
ApeXtreme,APEX/DISCover,Cancelled (2004),6
Romulator CD System,Avon,2001,6
WonderSwan,Bandai,"JP: March 4, 1999",6
WonderSwan Color,,"December 9, 2000",6
SwanCrystal,,"July 12, 2002",6
J-401-1,Caltime,200x,6
Cybiko,Cybiko,USA: April 2000 UK: 2001,6
Cybiko Xtreme,,,6
Kasey the Kinderbot,Fisher Price,2002,6
SET,Franklin/NYT,,6
GP32,Game Park,"KOR: November 23, 2001 PAL: June 15, 2004",6
Ribbit TV,Haier,2002,6
L600,Indrema,Cancelled (development stopped in April 2001),6
Turbo Twist,LeapFrog Enterprises,2000,6
iQuest,,2001,6
Leapster,,October 2003,6
Leapster L-MAX,,2004,6
Leapster TV,,2005,6
Pixter,Mattel / Fisher-Price,2002,6
Pixter Plus,,2002,6
Pixter 2.0,,2003,6
Pixter Color,,2003,6
Pixter Multi-media System,,2005,6
Xbox,Microsoft,"November 15, 2001",6
Nintendo GameCube,Nintendo,"November 14, 2001",6
iQue Player,,"November 17, 2003",6
Game Boy Advance,,"JP: March 21, 2001 NA: June 11, 2001 PAL: June 22, 2001",6
Game Boy Advance SP,,2003,6
Game Boy Advance SP+,,2005,6
Game Boy Micro,,2005,6
Pokémon Mini,,"JP: December 14, 2001 NA: November 16, 2001 PAL: March 15, 2002",6
N-Gage,Nokia,"October 7, 2003",6
N-Gage QD,,2004,6
Freeon,Nsig,Cancelled (2003),6
Panasonic M2,Panasonic,Cancelled (supposed to be released in 1997),6
Panasonic Q,Panasonic/Nintendo,"December 13, 2001",6
Dreamcast,Sega,"November 27, 1998",6
Advanced Pico Beena,,2005,6
PlayStation 2,Sony,"March 4, 2000",6
PlayStation 2 Slimline,,October 2004,6
PlayStation 2 SCPH-90000 Series,,July 2007,6
Bravia KDL-22PX300,,2010,6
PSX,,"December 13, 2003",6
Xavix PORT,SSD COMPANY LIMITED,2004,6
Zodiac,Tapwave,October 2003,6
GameKing I,TimeTop,HKG: 2003,6
GameKing II,,,6
GameKing III,,HKG: 2005,6
Go Go TV Game System,Toy Quest/Manely,2005,6
B'ngo,TTPCom,2003,6
Dockable Entertainment Featuring Game Boy Advance,Visteon,2006,6
"Streammaster 5000 ""Digital DNA""",VM Labs/Motorola,2000,6
Nuon DRC300N,VM Labs/RCA,2000,6
Nuon DCR480N,,2000,6
Nuon DVD-N501,VM Labs/Samsung,2000,6
Nuon DVD-N2000,,2000,6
Nuon DVD-N504,,2000,6
Nuon DVD-N505,,2000,6
Nuon DVD-N591,,2000,6
Nuon SD-2300 DVD Player,VM Labs/Toshiba,2000,6
V.Smile Model 6122,VTech,"August 4, 2004",6
V.Smile Model 752,,2007,6
V.Smile Model 1086,,200x,6
V.Smile Baby Infant Development System,,2006,6
PC Pal,,200x,6
Dingoo A320,Dingoo Digital Technology Company,CHN:February 2009 NA: February 2009,7
Intect Interact,Intec,2012,7
GP2X,GamePark Holdings,"KOR:November 10, 2005",7
GP2X Wiz,,"May 12, 2009",7
CAANOO,,"August 16, 2010",7
My Life,Giochi Preziosi,2007,7
Sports Vii,JungleTac,2007,7
Zone Wireless Gaming,,2009,7
Zone 40 Wireless Gaming,,2010,7
Zone 60 Wireless Gaming,,2010,7
Wireless Hunting Video Game System,,2011,7
Wireless Air 60,,2011,7
Didj,LeapFrog Enterprises,"August 22, 2008",7
Leapster 2,,2008,7
Leapster Explorer,,"July 15, 2010",7
Leapster GS,,2012,7
Zeus,Lexibook,,7
HyperScan,Mattel,"October 23, 2006",7
iXL,Mattel / Fisher Price,2010,7
Xbox 360,Microsoft,"November 22, 2005",7
Xbox 360 S,,"June 18, 2010",7
Xbox 360 E,,"June 10, 2013",7
digiBlast,Nikko,2005,7
Wii,Nintendo,"November 19, 2006",7
Wii Family Edition,,"October 23, 2011",7
Wii Mini,,"December 7, 2012",7
Nintendo DS,,"JP: December 2, 2004 NA:November 21, 2004 PAL: February 24, 2005",7
Nintendo DS Lite,,"March 2, 2006",7
Nintendo DSi,,"November 1, 2008",7
Nintendo DSi XL,,"November 21, 2009",7
Pandora,OpenPandora,"May 21, 2010",7
Phantom,Phantom,Cancelled (supposed to be released in September 2005),7
EZ Mini,Shanda,Cancelled (Production Samples Produced 2006),7
PlayStation 3,Sony,"November 11, 2006",7
PlayStation 3 Slim,,"September 1, 2009",7
PlayStation 3 Super Slim,,September 2012,7
PlayStation Portable 1000,,"JP: December 12, 2004 NA: March 24, 2005 PAL:September 1, 2005",7
PlayStation Portable 2000,,September 2007,7
PlayStation Portable 3000,,October 2008,7
PSP Go,,October 2009,7
PlayStation Portable Street,,October 2011,7
VideoNow XP,Tiger Electronics,2005,7
Gizmondo,Tiger Telematics,"NA: October 22, 2005 EU: March 19, 2005",7
V.Flash,VTech,September 2006,7
V.Smile Pocket,,2005,7
V.Smile Pocket Cyber,,2008,7
V-Motion Active Learning System,,2008,7
MobiGo,,"June 7, 2010",7
MobiGo 2,,"July 23, 2013",7
InnoTab,,"September, 2011",7
InnoTab 2,,,7
InnoTab 3,,,7
InnoTab 3S,,,7
InnoTab MAX,,,7
Game Wave Family Entertainment System,ZAPiT,October 2005,7
Zeebo,Zeebo Inc.,"May 25, 2009",7
GCW Zero,Game Consoles Worldwide,"NA: January 17, 2013",8
K-Magic,K's Kids,September 2011,8
Arduboy,Kevin Bates,"WW: August 8, 2016",8
Kids Pad,LG Corporation,"KOR:November 21, 2012",8
Monon Color,M&D,"CHN: October, 2014",8
Xbox One,Microsoft,"November 22, 2013",8
Xbox One S,,"August 2, 2016",8
Xbox One X,,"November 7, 2017",8
Xbox One S All Digital Edition,,"May 7, 2019",8
Wii U,Nintendo,"November 18, 2012",8
Nintendo Switch,,"March 3, 2017",8
Nintendo Switch Lite,,"September 20, 2019",8
Nintendo 3DS,,"JP: February 26, 2011 NA: March 27, 2011 PAL: March 25, 2011",8
Nintendo 3DS XL,,"July 28, 2012",8
Nintendo 2DS,,"October 12, 2013",8
New Nintendo 3DS,,"October 25, 2014",8
New Nintendo 3DS XL,,"October 11, 2014",8
New Nintendo 2DS XL,,"June 15, 2017",8
Shield Portable,Nvidia,"NA: July 31, 2013",8
PlayStation 4,Sony,"November 15, 2013",8
PlayStation 4 Slim,,"September 16, 2016",8
PlayStation 4 Pro,,"November 10, 2016",8
PlayStation Vita PCH-1000,,"JP: December 17, 2011 NA: February 15, 2012 PAL: February 22, 2012",8
PlayStation Vita PCH-2000,,"October 10, 2013",8
